itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,1.865,1.084,2.46,2.159,1.073,1.231,293.802,13.59,1863.955,0.967,0.358,1.092,0.339,79.406,13.886,2.492,1.297,0.824,1.045,0.529,2.681,0.927,1.651,1.208,0.519
2,1.849,1.058,2.45,2.231,1.036,1.328,270.006,11.973,1746.337,0.846,0.386,0.917,0.321,66.528,12.126,2.359,1.204,0.762,0.968,0.493,2.357,0.914,1.527,1.149,0.494
3,1.767,1.106,2.259,2.219,1.067,1.591,221.002,10.428,1462.926,0.828,0.506,0.87,0.394,49.615,9.265,2.191,1.251,0.798,0.942,0.52,2.008,1.003,1.422,1.178,0.575
4,2.005,1.707,2.276,2.513,1.648,2.267,164.253,9.454,1143.277,1.374,1.106,1.422,0.955,34.443,6.523,2.24,1.833,1.444,1.437,1.009,1.968,1.644,1.874,1.797,1.184
5,3.15,3.476,3.141,3.745,3.401,3.77,117.096,9.16,911.914,3.164,2.7,3.239,2.521,25.435,5.062,3.104,3.524,3.452,3.06,2.472,2.832,3.518,3.627,3.613,2.856
6,5.574,6.667,5.289,6.343,6.585,6.412,87.387,9.243,833.687,6.621,5.501,6.728,5.309,23.656,5.381,5.138,6.643,7.311,6.065,5.127,4.852,7.011,7.084,6.84,5.805
7,9.027,10.832,8.51,10.041,10.744,9.925,72.837,9.281,883.262,11.403,9.133,11.529,8.947,26.777,7.105,8.125,10.85,12.708,10.021,8.618,7.696,11.744,11.838,10.991,9.622
8,12.667,14.871,11.967,13.934,14.78,13.485,64.037,8.991,960.022,16.33,12.662,16.458,12.501,30.402,9.219,11.314,15.139,18.393,13.869,12.036,10.486,16.58,16.666,14.961,13.321
9,15.328,17.471,14.632,16.758,17.375,16.04,53.365,8.388,946.146,19.858,14.955,20.001,14.841,31.341,10.664,13.658,18.161,22.661,16.344,14.281,12.344,20.005,20.024,17.467,15.72
10,16.03,17.721,15.661,17.451,17.615,16.776,40.594,7.555,841.672,20.809,15.21,21.001,15.156,29.225,10.831,14.358,18.839,24.1,16.568,14.57,12.606,20.782,20.776,17.631,15.978
11,14.501,15.528,14.811,15.731,15.411,15.531,28.244,6.634,723.17,18.846,13.335,19.142,13.344,24.423,9.641,13.218,16.916,22.239,14.458,12.801,11.279,18.621,18.646,15.388,14.001
12,11.349,11.656,12.476,12.255,11.542,12.669,18.335,5.759,581.913,14.668,9.997,15.111,10.055,18.76,7.489,10.667,13.114,17.82,10.752,9.608,8.782,14.314,14.386,11.515,10.483
13,7.716,7.392,9.669,8.253,7.299,9.324,11.518,5.034,469.303,9.734,6.294,10.316,6.376,13.411,5.054,7.655,8.723,12.435,6.677,6.044,5.974,9.315,9.427,7.285,6.576
14,4.733,3.935,7.512,4.969,3.869,6.632,7.662,4.491,357.178,5.509,3.246,6.154,3.323,9.502,3.002,5.185,5.042,7.747,3.361,3.093,3.676,5.084,5.199,3.875,3.352
15,3.008,1.89,6.666,3.061,1.844,5.282,6.137,4.117,272.892,2.85,1.373,3.45,1.425,7.27,1.702,3.821,2.801,4.753,1.377,1.27,2.333,2.439,2.527,1.878,1.369
16,2.466,1.125,7.08,2.429,1.076,5.28,6.072,3.856,200.575,1.741,0.577,2.182,0.597,6.392,1.138,3.477,1.939,3.459,0.603,0.49,1.879,1.331,1.367,1.153,0.534
17,2.561,1.038,8.047,2.469,0.959,5.935,6.729,3.601,145.972,1.529,0.373,1.748,0.37,6.337,1.031,3.562,1.898,3.155,0.479,0.296,1.878,1.135,1.086,1.098,0.341
18,2.695,1.063,8.733,2.531,0.941,6.483,7.674,3.259,107.301,1.525,0.319,1.525,0.304,6.535,1.085,3.532,2.061,3.068,0.49,0.263,1.899,1.188,1.046,1.144,0.314
19,2.586,1.026,8.708,2.331,0.872,6.521,8.349,2.816,68.398,1.489,0.28,1.329,0.262,6.649,1.16,3.311,2.137,2.83,0.486,0.256,1.824,1.21,1.034,1.119,0.3
20,2.243,0.93,7.986,1.918,0.772,6.093,8.899,2.328,40.972,1.416,0.254,1.171,0.238,6.541,1.196,3.105,2.106,2.387,0.472,0.266,1.669,1.216,1.051,1.03,0.293
21,1.775,0.808,6.749,1.439,0.676,5.355,9.035,1.852,27.443,1.33,0.245,1.07,0.232,6.028,1.166,3.046,1.975,1.831,0.457,0.282,1.51,1.257,1.114,0.916,0.294
22,1.327,0.7,5.351,1.056,0.614,4.583,8.747,1.432,19.085,1.262,0.254,1.035,0.244,5.244,1.079,3.167,1.782,1.309,0.451,0.297,1.381,1.371,1.22,0.822,0.305
23,1.015,0.623,4.125,0.874,0.588,4.0,8.212,1.108,17.929,1.21,0.273,1.041,0.262,4.452,0.963,3.413,1.591,0.927,0.453,0.3,1.312,1.55,1.331,0.766,0.318
24,0.884,0.575,3.253,0.911,0.585,3.663,7.834,0.912,18.583,1.158,0.297,1.051,0.278,4.126,0.859,3.646,1.471,0.722,0.46,0.288,1.312,1.752,1.407,0.738,0.325
25,0.901,0.548,2.754,1.095,0.597,3.522,7.906,0.837,19.56,1.091,0.322,1.04,0.289,4.645,0.801,3.754,1.456,0.674,0.476,0.266,1.38,1.928,1.444,0.73,0.325
26,0.99,0.541,2.543,1.318,0.627,3.431,8.741,0.854,22.336,1.027,0.347,1.012,0.301,6.06,0.807,3.704,1.549,0.734,0.517,0.246,1.506,2.064,1.488,0.747,0.325
27,1.072,0.559,2.522,1.476,0.683,3.313,10.749,0.929,31.47,0.996,0.374,0.996,0.318,8.032,0.867,3.551,1.711,0.872,0.589,0.237,1.659,2.155,1.586,0.804,0.334
28,1.092,0.605,2.657,1.509,0.765,3.2,14.211,1.046,49.64,1.001,0.402,0.993,0.344,10.001,0.953,3.35,1.867,1.044,0.682,0.246,1.815,2.182,1.73,0.904,0.359
29,1.037,0.666,2.919,1.419,0.852,3.135,18.751,1.188,74.46,1.021,0.423,0.984,0.37,11.469,1.033,3.15,1.943,1.193,0.764,0.265,1.91,2.138,1.864,1.012,0.389
30,0.922,0.711,3.222,1.245,0.907,3.116,23.152,1.327,100.769,1.013,0.43,0.935,0.384,12.035,1.094,2.958,1.885,1.263,0.795,0.283,1.9,2.013,1.898,1.07,0.408
31,0.798,0.733,3.447,1.06,0.915,3.088,25.778,1.444,117.195,0.982,0.421,0.867,0.379,11.594,1.145,2.749,1.719,1.239,0.756,0.29,1.766,1.827,1.823,1.064,0.409
32,0.718,0.738,3.51,0.924,0.886,2.977,25.581,1.524,119.751,0.976,0.405,0.846,0.358,10.218,1.21,2.532,1.521,1.157,0.66,0.285,1.532,1.624,1.706,1.028,0.397
33,0.714,0.744,3.356,0.858,0.848,2.718,22.63,1.551,106.346,1.046,0.394,0.933,0.336,8.311,1.306,2.316,1.372,1.075,0.547,0.274,1.296,1.467,1.658,1.018,0.391
34,0.791,0.763,3.006,0.858,0.829,2.331,17.94,1.515,84.565,1.208,0.393,1.151,0.325,6.269,1.421,2.174,1.304,1.035,0.463,0.262,1.134,1.416,1.749,1.075,0.403
35,0.929,0.788,2.57,0.895,0.834,1.924,13.038,1.428,61.525,1.425,0.4,1.44,0.328,4.463,1.516,2.117,1.304,1.033,0.429,0.253,1.097,1.483,1.943,1.181,0.428
36,1.074,0.795,2.162,0.923,0.84,1.61,9.373,1.329,45.453,1.609,0.402,1.672,0.336,3.063,1.548,2.123,1.315,1.026,0.438,0.245,1.124,1.594,2.107,1.271,0.45
37,1.169,0.77,1.879,0.909,0.825,1.463,7.499,1.273,40.294,1.667,0.39,1.729,0.335,2.145,1.492,2.127,1.315,0.971,0.466,0.235,1.13,1.659,2.113,1.282,0.448
38,1.177,0.717,1.78,0.852,0.78,1.485,7.38,1.31,46.008,1.555,0.367,1.559,0.322,1.674,1.364,2.067,1.329,0.864,0.494,0.223,1.051,1.64,1.914,1.197,0.42
39,1.107,0.667,1.872,0.779,0.728,1.641,8.587,1.45,61.843,1.299,0.345,1.217,0.303,1.578,1.218,1.948,1.41,0.743,0.519,0.216,0.91,1.566,1.585,1.065,0.38
40,0.991,0.654,2.1,0.73,0.7,1.867,10.731,1.667,75.547,0.988,0.336,0.822,0.29,1.755,1.118,1.805,1.574,0.668,0.549,0.22,0.787,1.505,1.273,0.956,0.353
41,0.859,0.681,2.354,0.716,0.699,2.072,13.351,1.895,88.755,0.708,0.344,0.484,0.29,2.052,1.103,1.662,1.755,0.667,0.58,0.238,0.741,1.471,1.07,0.905,0.349
42,0.736,0.716,2.52,0.736,0.704,2.178,15.846,2.068,96.0,0.502,0.361,0.258,0.299,2.348,1.178,1.563,1.853,0.722,0.6,0.264,0.792,1.437,0.978,0.888,0.361
43,0.643,0.726,2.545,0.785,0.684,2.155,17.492,2.148,93.858,0.37,0.374,0.153,0.31,2.633,1.312,1.577,1.799,0.779,0.595,0.29,0.903,1.375,0.945,0.858,0.371
44,0.591,0.696,2.424,0.867,0.631,2.02,17.71,2.149,81.622,0.288,0.377,0.139,0.32,2.956,1.457,1.753,1.596,0.791,0.566,0.307,1.031,1.308,0.932,0.793,0.368
45,0.573,0.645,2.186,0.971,0.563,1.82,16.538,2.109,63.81,0.247,0.371,0.185,0.33,3.384,1.573,2.098,1.314,0.745,0.529,0.314,1.137,1.291,0.943,0.721,0.353
46,0.58,0.606,1.888,1.066,0.51,1.603,14.666,2.068,45.7,0.269,0.361,0.28,0.343,3.995,1.639,2.522,1.049,0.661,0.502,0.315,1.225,1.375,1.02,0.689,0.336
47,0.615,0.598,1.587,1.137,0.49,1.424,12.978,2.052,32.342,0.375,0.354,0.422,0.356,4.788,1.657,2.889,0.881,0.577,0.493,0.313,1.313,1.566,1.166,0.718,0.328
48,0.701,0.611,1.324,1.185,0.499,1.298,12.104,2.074,25.18,0.558,0.347,0.591,0.363,5.645,1.633,3.085,0.838,0.518,0.495,0.312,1.395,1.817,1.324,0.784,0.329
49,0.853,0.617,1.11,1.211,0.519,1.189,12.24,2.137,23.159,0.789,0.333,0.752,0.353,6.32,1.58,3.037,0.901,0.496,0.494,0.309,1.429,2.012,1.422,0.843,0.329
50,1.08,0.6,0.937,1.237,0.541,1.057,13.08,2.236,24.479,1.032,0.312,0.873,0.323,6.6,1.509,2.741,1.065,0.523,0.493,0.303,1.368,2.077,1.421,0.878,0.324
51,1.363,0.571,0.816,1.283,0.576,0.913,14.228,2.351,28.585,1.248,0.285,0.94,0.282,6.459,1.433,2.316,1.353,0.605,0.51,0.294,1.223,2.024,1.338,0.919,0.315
52,1.645,0.565,0.771,1.337,0.649,0.795,15.193,2.434,33.62,1.397,0.262,0.947,0.243,6.025,1.363,1.922,1.795,0.747,0.565,0.284,1.072,1.917,1.239,1.023,0.313
53,1.848,0.606,0.824,1.369,0.765,0.758,15.758,2.445,37.025,1.451,0.251,0.897,0.222,5.498,1.308,1.688,2.39,0.937,0.658,0.274,1.013,1.817,1.184,1.215,0.324
54,1.916,0.687,0.984,1.363,0.897,0.843,15.768,2.377,37.919,1.407,0.252,0.813,0.22,5.056,1.268,1.645,3.069,1.149,0.76,0.265,1.103,1.731,1.189,1.448,0.345
55,1.842,0.774,1.212,1.331,0.993,1.051,15.253,2.252,35.639,1.287,0.259,0.72,0.229,4.766,1.235,1.716,3.695,1.341,0.826,0.255,1.314,1.621,1.222,1.627,0.36
