itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,20.294,5.267,130.126,19.887,5.394,104.139,25.377,7.043,337.928,11.057,3.164,10.581,3.165,18.476,2.985,38.422,15.524,8.709,5.061,2.929,41.738,15.795,13.12,6.218,3.22
2,20.443,3.385,177.115,19.083,3.521,133.61,20.527,5.093,151.168,7.148,2.039,7.137,2.148,11.386,2.496,26.094,11.03,6.492,3.281,1.866,28.509,11.307,9.115,4.452,2.133
3,24.115,2.389,226.352,21.809,2.537,165.156,16.839,3.827,71.909,5.175,1.455,5.453,1.625,7.527,2.259,18.59,9.566,5.511,2.315,1.319,20.499,9.538,6.715,3.554,1.54
4,28.608,2.103,262.023,25.605,2.265,187.838,13.993,3.345,56.923,4.746,1.305,5.17,1.502,5.958,2.207,15.792,10.237,5.579,2.02,1.186,17.503,9.836,5.798,3.357,1.351
5,30.654,2.105,267.647,27.36,2.27,189.626,12.585,3.417,52.119,4.894,1.321,5.385,1.527,5.503,2.227,14.952,11.219,6.043,1.998,1.207,16.486,10.649,5.627,3.428,1.325
6,28.375,2.051,240.193,25.22,2.199,168.286,12.188,3.693,38.359,4.824,1.282,5.337,1.489,5.631,2.241,13.725,11.017,6.267,1.901,1.165,14.991,10.568,5.472,3.38,1.262
7,22.554,1.872,186.445,19.834,1.971,128.985,12.691,3.82,30.62,4.307,1.142,4.769,1.335,6.197,2.218,11.288,9.427,5.94,1.639,1.015,12.063,9.337,5.041,3.085,1.114
8,15.369,1.625,121.66,13.16,1.66,82.245,14.039,3.611,25.073,3.505,0.937,3.842,1.103,6.753,2.151,7.982,6.982,5.071,1.279,0.801,8.396,7.325,4.356,2.603,0.913
9,9.054,1.405,65.696,7.273,1.401,42.865,15.764,3.137,24.462,2.678,0.725,2.869,0.865,7.111,2.05,5.161,4.489,3.894,0.929,0.591,5.25,5.148,3.589,2.099,0.712
10,4.963,1.3,28.342,3.458,1.309,17.184,17.385,2.623,27.009,2.029,0.556,2.14,0.689,7.263,1.931,3.126,2.626,2.704,0.684,0.443,3.147,3.402,2.93,1.753,0.57
11,3.148,1.332,10.543,1.823,1.409,5.901,18.411,2.312,27.778,1.625,0.455,1.789,0.611,7.417,1.809,2.2,1.656,1.755,0.579,0.379,2.203,2.424,2.534,1.665,0.519
12,2.581,1.443,4.969,1.485,1.619,3.209,18.509,2.332,30.397,1.415,0.415,1.751,0.613,7.597,1.697,1.857,1.392,1.141,0.581,0.382,2.095,2.142,2.39,1.79,0.547
13,2.142,1.532,3.773,1.38,1.798,3.288,18.219,2.64,29.592,1.284,0.406,1.827,0.642,7.784,1.605,1.815,1.426,0.818,0.62,0.413,2.249,2.209,2.346,1.975,0.605
14,1.617,1.523,3.042,1.194,1.843,3.345,18.159,3.047,31.461,1.144,0.404,1.845,0.648,7.842,1.525,1.762,1.469,0.689,0.635,0.44,2.434,2.276,2.264,2.07,0.643
15,1.124,1.406,2.389,1.008,1.729,3.116,18.851,3.354,34.161,1.003,0.404,1.76,0.618,7.748,1.437,1.736,1.507,0.675,0.608,0.453,2.386,2.24,2.12,2.015,0.644
16,0.811,1.237,1.983,0.962,1.514,2.894,20.388,3.456,39.449,0.905,0.417,1.624,0.57,7.532,1.319,1.718,1.613,0.739,0.559,0.454,2.245,2.174,2.005,1.86,0.621
17,0.724,1.094,1.972,1.117,1.305,2.783,22.21,3.392,43.081,0.898,0.453,1.527,0.537,7.318,1.177,1.825,1.83,0.905,0.531,0.456,2.101,2.195,2.076,1.724,0.605
18,0.806,1.024,2.028,1.421,1.175,2.753,23.259,3.312,46.079,0.989,0.51,1.511,0.536,7.207,1.045,1.917,2.112,1.153,0.546,0.466,2.067,2.342,2.362,1.679,0.614
19,0.949,1.013,2.382,1.742,1.123,2.986,22.77,3.417,43.115,1.145,0.567,1.552,0.557,7.351,0.976,2.039,2.341,1.405,0.593,0.478,2.257,2.531,2.73,1.7,0.639
20,1.046,1.012,2.646,1.933,1.093,3.12,20.454,3.835,39.235,1.309,0.591,1.594,0.566,7.886,1.017,1.978,2.402,1.564,0.641,0.479,2.479,2.601,2.981,1.7,0.651
21,1.094,0.993,3.042,1.986,1.045,3.283,16.9,4.519,30.308,1.426,0.566,1.609,0.538,8.671,1.181,1.838,2.304,1.574,0.69,0.459,2.754,2.498,2.98,1.63,0.623
22,1.19,0.979,3.156,2.029,0.998,3.126,13.032,5.284,24.707,1.481,0.497,1.62,0.473,9.531,1.435,1.578,2.164,1.469,0.775,0.419,2.845,2.318,2.758,1.537,0.557
23,1.456,1.025,3.206,2.225,1.015,2.881,9.733,5.928,19.569,1.505,0.415,1.691,0.395,10.262,1.708,1.382,2.153,1.355,0.939,0.377,2.873,2.267,2.499,1.532,0.479
24,1.919,1.16,3.005,2.623,1.132,2.46,7.594,6.342,20.077,1.52,0.35,1.842,0.337,10.772,1.914,1.26,2.344,1.323,1.186,0.35,2.747,2.462,2.362,1.692,0.424
25,2.484,1.347,2.728,3.133,1.314,2.05,6.739,6.522,23.907,1.532,0.319,2.026,0.315,10.943,1.993,1.269,2.662,1.39,1.453,0.346,2.603,2.82,2.381,1.98,0.406
26,2.961,1.496,2.226,3.552,1.467,1.601,6.8,6.533,30.639,1.51,0.315,2.134,0.322,10.682,1.936,1.31,2.929,1.498,1.636,0.358,2.431,3.125,2.463,2.252,0.415
27,3.171,1.518,1.733,3.68,1.499,1.286,7.15,6.453,39.464,1.418,0.319,2.072,0.339,9.957,1.782,1.335,2.959,1.548,1.652,0.37,2.409,3.161,2.476,2.348,0.43
28,3.057,1.393,1.352,3.443,1.386,1.206,7.121,6.344,45.937,1.265,0.322,1.825,0.351,8.823,1.597,1.371,2.669,1.48,1.498,0.373,2.594,2.84,2.367,2.217,0.444
29,2.713,1.19,1.214,2.945,1.194,1.472,6.505,6.239,49.346,1.103,0.33,1.47,0.362,7.514,1.448,1.487,2.163,1.305,1.26,0.373,2.995,2.276,2.184,1.955,0.47
30,2.303,1.015,1.361,2.391,1.031,2.078,5.559,6.147,48.662,0.983,0.356,1.126,0.388,6.33,1.39,1.761,1.65,1.093,1.059,0.383,3.543,1.696,2.024,1.731,0.53
31,1.967,0.936,1.721,1.964,0.962,2.893,4.906,6.075,44.497,0.948,0.403,0.893,0.432,5.515,1.448,2.174,1.303,0.912,0.97,0.409,4.041,1.297,1.961,1.655,0.623
32,1.765,0.949,2.148,1.742,0.982,3.684,5.173,6.067,38.34,1.003,0.457,0.794,0.484,5.147,1.614,2.612,1.181,0.788,0.985,0.443,4.278,1.154,1.977,1.719,0.722
33,1.644,0.998,2.464,1.665,1.033,4.173,6.574,6.198,31.827,1.078,0.494,0.772,0.522,5.141,1.861,2.928,1.232,0.702,1.037,0.468,4.13,1.196,1.977,1.825,0.786
34,1.524,1.016,2.522,1.622,1.05,4.16,8.819,6.474,26.639,1.117,0.495,0.783,0.529,5.38,2.138,3.008,1.363,0.642,1.056,0.469,3.598,1.318,1.92,1.862,0.786
35,1.382,0.991,2.36,1.556,1.029,3.702,11.675,6.798,22.983,1.114,0.461,0.848,0.502,5.916,2.381,2.87,1.517,0.627,1.031,0.445,2.827,1.506,1.858,1.807,0.728
36,1.243,0.967,1.993,1.499,1.021,2.918,14.879,6.984,20.786,1.118,0.407,1.022,0.453,6.97,2.54,2.578,1.674,0.696,1.016,0.406,2.071,1.822,1.915,1.738,0.644
37,1.149,0.995,1.631,1.512,1.075,2.138,18.008,6.885,19.866,1.176,0.356,1.33,0.405,8.709,2.593,2.288,1.824,0.869,1.058,0.37,1.558,2.287,2.175,1.746,0.578
38,1.125,1.082,1.334,1.625,1.189,1.534,20.717,6.496,20.465,1.283,0.322,1.713,0.371,11.083,2.551,2.092,1.935,1.11,1.156,0.347,1.359,2.823,2.59,1.847,0.55
39,1.169,1.182,1.183,1.817,1.308,1.222,22.889,5.933,24.029,1.388,0.307,2.044,0.354,14.02,2.457,2.075,1.964,1.341,1.255,0.334,1.417,3.261,2.989,1.968,0.548
40,1.259,1.227,1.13,2.027,1.353,1.129,24.582,5.374,32.352,1.446,0.301,2.215,0.345,17.424,2.368,2.173,1.865,1.487,1.282,0.321,1.584,3.415,3.206,2.003,0.546
41,1.389,1.191,1.136,2.202,1.293,1.16,25.973,4.998,44.633,1.447,0.301,2.201,0.341,20.952,2.325,2.314,1.638,1.51,1.21,0.3,1.757,3.256,3.167,1.915,0.53
42,1.543,1.102,1.19,2.308,1.162,1.258,26.999,4.92,59.114,1.441,0.313,2.076,0.345,23.98,2.332,2.392,1.338,1.432,1.078,0.276,1.908,2.932,2.959,1.765,0.512
43,1.703,1.03,1.243,2.349,1.039,1.394,27.368,5.109,69.134,1.494,0.348,1.97,0.364,25.743,2.358,2.369,1.063,1.317,0.964,0.26,2.035,2.678,2.746,1.674,0.514
44,1.83,1.024,1.377,2.322,0.984,1.638,26.539,5.374,74.399,1.621,0.403,1.954,0.399,25.525,2.36,2.243,0.867,1.215,0.923,0.261,2.166,2.637,2.615,1.719,0.549
45,1.868,1.075,1.576,2.217,1.001,2.036,24.347,5.474,70.29,1.758,0.464,1.99,0.433,23.372,2.309,2.077,0.772,1.137,0.956,0.279,2.328,2.782,2.532,1.869,0.601
46,1.779,1.127,1.981,2.034,1.037,2.66,21.015,5.279,60.25,1.808,0.509,1.979,0.451,19.787,2.211,1.968,0.744,1.063,1.005,0.302,2.51,2.97,2.395,1.996,0.643
47,1.572,1.125,2.659,1.784,1.032,3.518,17.053,4.811,47.197,1.709,0.523,1.842,0.441,15.667,2.096,2.043,0.734,0.992,1.0,0.322,2.708,3.021,2.171,1.982,0.649
48,1.313,1.067,3.666,1.506,0.972,4.573,13.303,4.277,39.719,1.491,0.513,1.589,0.411,11.832,2.009,2.344,0.724,0.958,0.915,0.334,2.926,2.856,1.949,1.817,0.619
49,1.083,1.001,4.768,1.245,0.891,5.514,10.733,3.909,34.61,1.235,0.5,1.303,0.384,8.979,1.982,2.801,0.725,1.001,0.783,0.344,3.089,2.529,1.855,1.601,0.581
50,0.942,0.982,5.69,1.038,0.844,6.11,10.197,3.839,36.45,1.03,0.504,1.077,0.379,7.398,2.019,3.24,0.751,1.126,0.661,0.356,3.157,2.156,1.962,1.464,0.562
51,0.917,1.021,6.096,0.91,0.852,6.127,11.846,4.009,42.637,0.928,0.527,0.964,0.396,6.989,2.095,3.464,0.801,1.284,0.586,0.369,3.057,1.847,2.23,1.469,0.57
52,0.975,1.08,5.826,0.843,0.887,5.538,14.87,4.21,51.335,0.91,0.551,0.941,0.419,7.255,2.163,3.363,0.845,1.399,0.558,0.377,2.798,1.628,2.509,1.566,0.589
53,1.06,1.094,5.024,0.814,0.9,4.601,18.114,4.22,59.605,0.908,0.552,0.934,0.425,7.642,2.181,2.999,0.873,1.412,0.543,0.37,2.453,1.468,2.607,1.638,0.591
54,1.131,1.027,4.064,0.821,0.872,3.721,20.708,3.961,63.974,0.866,0.519,0.879,0.405,7.779,2.151,2.544,0.896,1.343,0.519,0.349,2.132,1.342,2.439,1.601,0.562
55,1.184,0.906,3.42,0.883,0.838,3.31,22.415,3.559,64.052,0.806,0.464,0.793,0.373,7.564,2.127,2.172,0.973,1.301,0.501,0.317,1.937,1.272,2.117,1.488,0.516
56,1.245,0.803,3.248,1.026,0.86,3.486,23.647,3.279,57.96,0.78,0.413,0.728,0.354,7.166,2.165,1.973,1.211,1.393,0.53,0.288,1.909,1.324,1.844,1.417,0.484
57,1.343,0.772,3.532,1.268,0.966,4.064,25.227,3.404,49.54,0.823,0.389,0.741,0.364,6.784,2.306,1.952,1.717,1.666,0.625,0.268,2.011,1.544,1.763,1.484,0.485
