itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,2.618,0.563,5.431,4.838,0.81,4.709,12.855,2.241,145.202,3.846,0.877,3.311,0.941,7.104,1.234,1.488,3.106,5.093,0.879,0.991,1.369,1.414,2.255,0.707,0.634
2,2.397,0.518,3.863,4.639,0.844,3.74,20.38,2.377,218.163,4.128,0.827,3.611,0.898,10.289,1.171,1.566,2.614,4.398,0.827,0.946,1.638,1.457,1.971,0.691,0.614
3,2.142,0.473,3.26,4.162,0.873,3.089,28.204,2.332,292.434,4.056,0.73,3.712,0.832,12.994,1.09,1.595,2.144,3.555,0.745,0.845,1.811,1.707,1.696,0.701,0.586
4,1.852,0.424,2.866,3.505,0.868,2.466,34.217,2.118,344.204,3.619,0.616,3.529,0.76,14.466,1.016,1.608,1.768,2.705,0.645,0.713,1.834,2.15,1.439,0.738,0.565
5,1.542,0.374,2.576,2.836,0.828,1.913,36.903,1.868,371.519,2.92,0.527,3.078,0.7,14.56,0.975,1.64,1.522,1.962,0.543,0.586,1.752,2.689,1.249,0.8,0.559
6,1.267,0.328,2.459,2.304,0.774,1.615,36.229,1.76,364.585,2.146,0.49,2.473,0.661,13.698,0.981,1.696,1.41,1.416,0.454,0.489,1.7,3.206,1.204,0.885,0.565
7,1.055,0.298,2.489,1.997,0.75,1.763,33.476,1.911,340.974,1.479,0.509,1.863,0.638,12.601,1.033,1.766,1.405,1.095,0.396,0.434,1.882,3.585,1.354,0.98,0.571
8,0.925,0.298,2.678,1.939,0.803,2.431,30.28,2.304,305.509,1.021,0.565,1.379,0.626,11.826,1.112,1.836,1.445,0.953,0.367,0.415,2.445,3.781,1.677,1.064,0.571
9,0.978,0.334,2.912,2.187,0.952,3.7,27.921,2.798,274.755,0.783,0.628,1.084,0.621,11.459,1.19,1.898,1.46,0.935,0.357,0.434,3.358,3.798,2.081,1.119,0.574
10,1.326,0.404,3.867,2.807,1.169,5.971,26.562,3.19,243.454,0.723,0.67,0.995,0.635,11.116,1.244,1.94,1.429,1.024,0.358,0.527,4.441,3.655,2.441,1.142,0.603
11,2.048,0.493,6.835,3.764,1.383,9.891,25.521,3.316,214.724,0.764,0.68,1.066,0.685,10.296,1.262,1.964,1.388,1.215,0.371,0.745,5.396,3.44,2.67,1.153,0.679
12,3.089,0.58,12.911,4.84,1.514,15.66,23.644,3.133,174.351,0.826,0.656,1.2,0.795,8.883,1.237,1.987,1.356,1.481,0.394,1.105,6.012,3.271,2.718,1.185,0.808
13,4.307,0.644,22.392,5.776,1.515,22.723,20.404,2.723,138.628,0.864,0.61,1.317,0.979,7.055,1.173,2.027,1.357,1.768,0.425,1.558,6.202,3.234,2.604,1.252,0.966
14,5.616,0.669,33.501,6.454,1.405,29.581,17.064,2.23,91.56,0.883,0.559,1.375,1.227,5.412,1.083,2.172,1.399,2.007,0.459,1.987,6.061,3.336,2.386,1.339,1.106
15,6.999,0.65,43.308,6.943,1.234,34.247,15.163,1.788,69.799,0.913,0.52,1.372,1.495,4.284,0.983,2.262,1.471,2.142,0.494,2.253,5.722,3.517,2.15,1.402,1.185
16,8.549,0.594,50.208,7.469,1.062,36.213,15.453,1.474,52.6,0.969,0.502,1.31,1.718,3.838,0.882,2.389,1.583,2.139,0.529,2.264,5.528,3.672,1.961,1.401,1.185
17,10.26,0.517,53.091,8.24,0.925,35.8,20.801,1.314,54.473,1.058,0.502,1.217,1.837,4.656,0.802,2.484,1.776,1.989,0.558,2.024,5.476,3.731,1.847,1.321,1.125
18,11.885,0.445,51.813,9.199,0.829,33.618,36.956,1.45,85.969,1.18,0.51,1.173,1.822,8.889,0.802,2.348,2.121,1.725,0.571,1.634,5.539,3.695,1.833,1.188,1.046
19,13.107,0.396,48.546,10.077,0.759,31.213,67.244,2.058,169.548,1.333,0.519,1.255,1.682,18.757,0.942,2.167,2.644,1.403,0.556,1.246,5.661,3.603,1.925,1.044,0.982
20,13.548,0.377,43.288,10.498,0.695,28.693,109.993,3.179,291.179,1.481,0.529,1.478,1.467,34.896,1.241,1.869,3.269,1.082,0.514,0.987,5.695,3.505,2.086,0.924,0.947
21,12.923,0.379,37.33,10.111,0.628,26.083,156.596,4.622,462.582,1.59,0.54,1.79,1.242,54.42,1.636,1.688,3.806,0.806,0.466,0.911,5.523,3.402,2.261,0.842,0.933
22,11.293,0.391,30.568,8.884,0.56,22.907,194.026,6.09,638.822,1.635,0.553,2.104,1.054,72.05,2.009,1.644,4.049,0.602,0.446,0.978,5.056,3.274,2.387,0.786,0.915
23,9.067,0.407,23.509,7.13,0.507,19.087,211.205,7.379,788.339,1.615,0.562,2.347,0.923,82.394,2.271,1.742,3.87,0.488,0.471,1.101,4.316,3.092,2.428,0.741,0.876
24,6.79,0.43,16.747,5.349,0.479,14.985,204.079,8.427,875.028,1.544,0.563,2.47,0.837,82.754,2.397,1.904,3.301,0.477,0.536,1.197,3.416,2.825,2.387,0.702,0.819
25,4.952,0.467,11.316,3.995,0.475,11.425,177.889,9.255,887.918,1.427,0.549,2.451,0.773,74.007,2.427,1.993,2.522,0.565,0.622,1.229,2.544,2.468,2.287,0.68,0.769
26,3.764,0.518,8.358,3.281,0.487,9.323,143.14,9.865,828.335,1.272,0.522,2.332,0.713,59.862,2.417,1.911,1.755,0.723,0.7,1.193,1.844,2.051,2.15,0.692,0.741
27,3.214,0.574,8.585,3.16,0.518,9.341,110.599,10.179,717.45,1.109,0.491,2.22,0.656,44.961,2.4,1.667,1.185,0.909,0.743,1.101,1.38,1.611,1.999,0.735,0.734
