itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,1.004,0.704,2.467,1.708,0.964,3.633,15.098,6.633,14.17,0.77,0.3,0.783,0.529,7.659,2.062,0.949,0.95,0.528,0.346,0.226,3.422,1.355,2.011,0.693,0.737
2,1.026,0.779,2.533,1.829,1.019,3.979,11.749,6.379,17.479,0.762,0.302,0.743,0.571,6.858,2.041,0.93,0.674,0.597,0.422,0.241,3.437,1.457,1.987,0.833,0.825
3,0.982,0.823,2.622,1.879,1.071,4.06,8.397,5.754,23.353,0.75,0.329,0.816,0.662,6.499,2.064,0.956,0.526,0.698,0.519,0.269,3.306,1.561,1.995,0.959,0.898
4,0.882,0.825,2.705,1.818,1.115,3.881,6.021,4.922,30.383,0.747,0.383,1.004,0.796,6.569,2.098,1.019,0.497,0.776,0.63,0.303,3.006,1.643,1.997,1.046,0.936
5,0.757,0.788,2.869,1.67,1.147,3.588,5.008,4.073,37.362,0.774,0.456,1.289,0.942,6.884,2.11,1.13,0.559,0.817,0.743,0.335,2.627,1.676,1.928,1.091,0.93
6,0.659,0.73,3.117,1.543,1.166,3.283,5.278,3.402,42.435,0.854,0.536,1.664,1.062,7.191,2.089,1.276,0.69,0.84,0.851,0.359,2.26,1.659,1.753,1.109,0.883
7,0.633,0.677,3.425,1.569,1.171,3.14,6.455,3.052,44.06,1.007,0.607,2.122,1.118,7.249,2.051,1.424,0.867,0.879,0.943,0.376,2.007,1.588,1.495,1.118,0.811
8,0.696,0.655,3.633,1.83,1.153,3.154,7.968,3.052,41.721,1.227,0.651,2.629,1.094,6.913,2.003,1.547,1.056,0.955,1.006,0.388,1.962,1.482,1.263,1.128,0.732
9,0.834,0.671,3.667,2.294,1.109,3.349,9.31,3.31,36.128,1.47,0.656,3.087,1.0,6.309,1.935,1.632,1.191,1.051,1.027,0.395,2.148,1.366,1.179,1.134,0.655
10,1.008,0.711,3.519,2.812,1.039,3.672,10.065,3.698,29.384,1.68,0.619,3.379,0.865,5.687,1.828,1.724,1.211,1.14,1.001,0.397,2.604,1.261,1.317,1.12,0.584
11,1.223,0.756,3.355,3.247,0.956,4.128,9.986,4.052,23.462,1.802,0.55,3.423,0.728,5.205,1.678,1.899,1.129,1.199,0.933,0.395,3.306,1.216,1.645,1.068,0.519
12,1.498,0.79,3.377,3.52,0.88,4.663,9.267,4.302,19.791,1.795,0.467,3.182,0.616,5.079,1.505,2.219,1.023,1.216,0.84,0.394,4.127,1.279,2.04,0.991,0.463
13,1.828,0.803,3.677,3.615,0.82,5.159,8.423,4.465,18.331,1.648,0.392,2.712,0.535,5.475,1.337,2.639,0.966,1.19,0.744,0.397,4.891,1.492,2.357,0.928,0.421
14,2.171,0.79,4.151,3.572,0.772,5.457,8.067,4.596,18.133,1.398,0.34,2.136,0.476,6.502,1.202,3.015,1.005,1.122,0.657,0.406,5.352,1.846,2.488,0.913,0.402
15,2.44,0.764,4.537,3.447,0.726,5.394,8.572,4.735,17.914,1.116,0.316,1.585,0.43,8.117,1.122,3.181,1.129,1.018,0.584,0.421,5.346,2.261,2.418,0.953,0.412
16,2.532,0.744,4.565,3.271,0.684,4.922,9.728,4.864,17.594,0.878,0.316,1.154,0.403,10.04,1.104,3.035,1.268,0.89,0.523,0.436,4.849,2.617,2.196,1.035,0.449
17,2.418,0.737,4.163,3.049,0.645,4.118,10.943,4.934,17.462,0.726,0.329,0.867,0.405,11.759,1.13,2.584,1.336,0.753,0.471,0.444,4.018,2.836,1.946,1.118,0.496
18,2.142,0.733,3.469,2.753,0.612,3.171,11.532,4.892,17.749,0.67,0.349,0.693,0.442,12.727,1.177,1.966,1.272,0.632,0.424,0.439,3.123,2.912,1.814,1.168,0.535
19,1.794,0.713,2.68,2.369,0.595,2.312,11.061,4.735,18.384,0.685,0.371,0.603,0.508,12.593,1.23,1.342,1.081,0.555,0.381,0.422,2.35,2.881,1.891,1.168,0.557
20,1.512,0.669,2.056,1.984,0.611,1.697,9.532,4.563,19.055,0.736,0.395,0.598,0.585,11.437,1.289,0.932,0.835,0.537,0.347,0.399,1.848,2.791,2.162,1.127,0.567
21,1.381,0.607,1.673,1.72,0.674,1.326,7.661,4.566,19.364,0.79,0.417,0.7,0.645,9.859,1.365,0.917,0.632,0.562,0.326,0.383,1.59,2.663,2.522,1.082,0.583
22,1.397,0.545,1.519,1.64,0.78,1.166,6.195,4.896,19.162,0.813,0.436,0.874,0.665,8.575,1.464,1.368,0.541,0.599,0.32,0.384,1.505,2.48,2.852,1.091,0.619
23,1.482,0.506,1.526,1.722,0.917,1.12,5.378,5.551,18.974,0.8,0.446,1.036,0.641,8.022,1.579,2.172,0.584,0.625,0.328,0.404,1.499,2.225,3.09,1.209,0.678
24,1.575,0.519,1.669,1.901,1.066,1.205,5.067,6.33,19.348,0.792,0.444,1.102,0.588,8.157,1.696,3.057,0.747,0.642,0.357,0.439,1.512,1.903,3.21,1.453,0.749
25,1.687,0.61,1.994,2.123,1.209,1.496,5.024,6.918,20.801,0.838,0.435,1.03,0.533,8.605,1.807,3.82,1.001,0.66,0.408,0.481,1.537,1.549,3.219,1.785,0.808
26,1.886,0.782,2.479,2.383,1.331,2.005,4.966,7.053,23.141,0.958,0.432,0.851,0.504,9.007,1.919,4.275,1.309,0.693,0.481,0.521,1.55,1.223,3.128,2.125,0.833
27,2.218,0.998,3.049,2.694,1.412,2.728,4.825,6.692,25.878,1.119,0.452,0.687,0.513,9.221,2.045,4.373,1.636,0.744,0.57,0.557,1.556,0.979,2.931,2.377,0.815
28,2.677,1.195,3.543,3.046,1.426,3.576,4.773,6.006,28.074,1.265,0.502,0.656,0.555,9.253,2.174,4.14,1.931,0.803,0.666,0.591,1.554,0.858,2.63,2.468,0.764
29,3.187,1.311,3.882,3.381,1.36,4.391,4.953,5.269,28.993,1.363,0.575,0.81,0.616,9.257,2.278,3.764,2.175,0.877,0.752,0.625,1.557,0.887,2.229,2.376,0.705
30,3.632,1.312,4.064,3.604,1.228,5.046,5.326,4.735,28.001,1.401,0.648,1.115,0.682,9.331,2.32,3.406,2.412,1.002,0.815,0.656,1.6,1.077,1.765,2.134,0.664
31,3.91,1.205,4.193,3.625,1.073,5.479,5.774,4.51,25.395,1.376,0.696,1.442,0.742,9.376,2.276,3.173,2.714,1.233,0.841,0.676,1.708,1.415,1.306,1.81,0.653
32,4.053,1.026,4.339,3.494,0.939,5.733,6.217,4.518,21.679,1.3,0.705,1.678,0.791,9.116,2.149,3.041,3.115,1.591,0.825,0.68,1.919,1.856,0.96,1.489,0.663
33,4.186,0.827,4.539,3.411,0.868,5.994,6.605,4.579,17.974,1.198,0.675,1.826,0.832,8.34,1.968,2.888,3.566,2.058,0.771,0.663,2.201,2.334,0.812,1.241,0.675
34,4.409,0.652,4.775,3.583,0.881,6.539,6.889,4.531,15.242,1.102,0.618,1.945,0.864,7.088,1.794,2.595,3.943,2.548,0.691,0.629,2.51,2.771,0.849,1.088,0.668
35,4.719,0.524,4.878,4.076,0.961,7.329,7.069,4.327,13.997,1.025,0.552,2.078,0.879,5.735,1.689,2.162,4.13,2.924,0.6,0.582,2.762,3.135,0.971,1.014,0.63
