itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,3.063,3.08,58.982,17.063,3.782,81.393,104.274,10.612,1691.282,2.769,2.46,6.191,3.026,26.057,21.319,31.418,5.625,4.432,1.877,3.802,48.75,11.416,5.524,12.243,26.607
2,3.175,3.058,87.841,16.746,3.823,119.002,117.525,11.43,1699.758,3.128,2.467,6.705,2.965,27.198,22.06,35.927,5.868,5.625,2.145,4.479,48.502,11.355,4.893,12.505,30.372
3,3.281,2.835,113.827,15.883,3.598,157.687,144.393,13.393,1606.989,3.364,2.523,7.313,2.975,28.388,22.673,39.847,6.178,6.539,2.299,5.122,50.718,10.875,4.975,12.309,33.184
4,3.308,2.544,132.169,14.924,3.221,187.316,167.759,15.066,1382.615,3.58,2.645,8.336,3.075,27.809,22.889,44.11,6.412,7.107,2.312,5.705,53.01,9.9,5.645,11.781,34.472
5,3.262,2.384,136.977,14.113,2.883,198.469,175.608,15.911,1017.772,3.913,2.832,9.799,3.268,25.471,22.659,47.987,6.488,7.445,2.248,6.213,50.347,9.026,7.018,11.277,34.414
6,3.208,2.505,130.774,13.44,2.76,189.389,165.757,15.701,658.503,4.416,3.066,11.358,3.534,22.263,21.976,51.543,6.435,7.703,2.258,6.603,47.908,8.509,9.0,11.182,33.633
7,3.173,2.957,114.481,12.663,2.966,160.746,143.08,14.643,423.938,5.007,3.312,12.42,3.835,19.204,20.858,53.079,6.419,7.974,2.489,6.804,44.409,8.332,11.171,11.775,32.741
8,3.138,3.657,98.242,11.794,3.538,127.325,117.053,13.217,291.017,5.518,3.52,12.609,4.103,16.976,19.315,52.496,6.482,8.227,2.985,6.721,41.242,8.299,12.962,13.024,31.899
9,3.059,4.396,88.212,11.467,4.385,101.55,96.65,11.887,263.144,5.766,3.627,11.914,4.263,15.914,17.393,50.043,6.603,8.326,3.615,6.286,38.153,8.275,13.965,14.639,30.793
10,2.971,4.939,88.126,12.311,5.352,98.512,86.582,10.981,313.02,5.7,3.591,10.674,4.299,15.79,15.278,46.963,6.662,8.145,4.154,5.525,36.258,8.267,14.281,16.289,29.071
11,2.885,5.12,96.588,14.656,6.271,127.173,85.398,10.523,411.663,5.426,3.411,9.485,4.246,16.048,13.201,44.675,6.565,7.645,4.398,4.577,36.8,8.585,14.42,17.664,26.901
12,2.765,4.892,106.767,18.172,6.95,176.659,88.518,10.555,554.715,5.1,3.118,8.827,4.151,16.127,11.344,44.524,6.184,6.862,4.26,3.651,43.785,9.289,14.729,18.591,25.198
