itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,0.558,0.442,1.646,1.22,0.428,1.707,10.575,1.882,150.627,0.533,0.478,0.785,0.378,6.771,1.475,2.489,1.783,0.369,0.498,0.287,2.457,1.335,1.403,0.918,0.659
2,0.47,0.481,1.943,1.113,0.484,1.96,10.662,1.705,142.192,0.605,0.524,0.777,0.402,6.809,1.508,2.56,1.478,0.328,0.424,0.277,2.584,1.031,1.308,0.894,0.633
3,0.416,0.495,2.214,1.18,0.53,2.222,9.91,1.457,118.294,0.632,0.531,0.729,0.407,6.169,1.397,2.506,1.312,0.325,0.353,0.276,2.609,0.86,1.159,0.914,0.628
4,0.441,0.477,2.432,1.519,0.565,2.544,8.745,1.191,84.674,0.618,0.497,0.697,0.398,5.083,1.171,2.378,1.235,0.357,0.3,0.283,2.46,0.919,0.992,0.977,0.634
5,0.549,0.433,2.579,2.116,0.59,3.032,7.622,0.973,53.653,0.587,0.437,0.743,0.385,3.95,0.895,2.192,1.177,0.425,0.271,0.295,2.208,1.216,0.838,1.058,0.644
6,0.702,0.378,2.575,2.825,0.602,3.576,6.728,0.844,28.244,0.565,0.372,0.889,0.378,3.025,0.641,2.014,1.113,0.525,0.266,0.304,1.93,1.674,0.716,1.114,0.655
7,0.828,0.325,2.462,3.403,0.592,4.224,6.018,0.8,14.356,0.562,0.324,1.086,0.379,2.465,0.456,1.83,1.065,0.644,0.279,0.304,1.731,2.15,0.628,1.1,0.67
8,0.878,0.277,2.199,3.628,0.552,4.685,5.263,0.804,6.789,0.568,0.304,1.25,0.383,2.207,0.352,1.731,1.046,0.769,0.303,0.294,1.611,2.463,0.565,1.002,0.69
9,0.845,0.236,1.934,3.405,0.48,4.935,4.283,0.814,4.711,0.558,0.307,1.299,0.38,2.108,0.32,1.714,1.052,0.909,0.34,0.286,1.54,2.481,0.51,0.839,0.711
10,0.76,0.199,1.674,2.806,0.388,4.764,3.112,0.809,2.65,0.511,0.321,1.199,0.366,2.029,0.342,1.903,1.1,1.097,0.426,0.326,1.449,2.184,0.448,0.661,0.718
11,0.667,0.17,1.598,2.029,0.302,4.332,1.993,0.792,2.191,0.427,0.332,0.983,0.341,1.941,0.405,2.413,1.282,1.344,0.609,0.483,1.34,1.683,0.368,0.519,0.702
12,0.599,0.153,1.646,1.299,0.244,3.724,1.192,0.776,1.968,0.337,0.327,0.734,0.308,1.832,0.486,3.355,1.852,1.635,0.915,0.808,1.195,1.145,0.283,0.452,0.659
13,0.57,0.154,1.826,0.774,0.225,3.141,0.782,0.781,2.368,0.276,0.305,0.528,0.272,1.714,0.56,4.799,3.218,1.904,1.317,1.301,1.058,0.735,0.21,0.461,0.599
14,0.571,0.169,1.972,0.517,0.237,2.707,0.694,0.822,3.095,0.263,0.273,0.42,0.238,1.592,0.609,6.718,5.677,2.057,1.735,1.884,0.917,0.549,0.159,0.517,0.539
15,0.582,0.189,2.017,0.474,0.258,2.382,0.806,0.892,4.092,0.287,0.244,0.405,0.212,1.47,0.625,8.903,9.051,2.027,2.061,2.424,0.801,0.591,0.136,0.576,0.498
16,0.589,0.204,1.885,0.559,0.27,2.11,0.987,0.98,4.91,0.342,0.228,0.454,0.199,1.381,0.614,10.96,12.669,1.814,2.201,2.791,0.712,0.78,0.135,0.612,0.489
17,0.612,0.211,1.639,0.717,0.271,1.851,1.156,1.074,5.513,0.428,0.229,0.543,0.202,1.395,0.593,12.666,15.751,1.491,2.117,2.933,0.657,1.0,0.143,0.626,0.516
18,0.675,0.213,1.366,0.921,0.272,1.615,1.29,1.16,5.955,0.55,0.242,0.664,0.219,1.58,0.578,14.076,17.715,1.175,1.851,2.883,0.632,1.161,0.149,0.635,0.569
19,0.783,0.213,1.125,1.136,0.28,1.42,1.42,1.217,6.412,0.697,0.257,0.795,0.246,1.927,0.578,15.486,18.471,0.973,1.503,2.74,0.62,1.219,0.154,0.666,0.633
20,0.909,0.214,0.959,1.311,0.296,1.311,1.587,1.225,7.172,0.83,0.269,0.902,0.276,2.353,0.585,17.16,18.426,0.913,1.18,2.6,0.628,1.164,0.162,0.74,0.686
21,1.013,0.215,0.872,1.41,0.313,1.285,1.868,1.17,7.905,0.902,0.274,0.949,0.305,2.734,0.59,19.02,18.192,0.949,0.96,2.506,0.622,1.034,0.179,0.861,0.709
22,1.063,0.215,0.881,1.428,0.324,1.356,2.298,1.053,8.549,0.88,0.27,0.914,0.323,2.973,0.585,20.684,18.251,0.987,0.877,2.443,0.626,0.898,0.215,1.003,0.692
23,1.087,0.222,1.03,1.412,0.33,1.572,2.868,0.889,8.525,0.785,0.261,0.822,0.327,3.03,0.569,21.56,18.641,0.959,0.92,2.363,0.607,0.831,0.279,1.12,0.638
24,1.157,0.24,1.33,1.44,0.337,1.974,3.488,0.711,8.099,0.68,0.249,0.729,0.314,2.941,0.552,21.13,18.926,0.85,1.064,2.242,0.623,0.873,0.379,1.172,0.559
25,1.329,0.273,1.77,1.58,0.354,2.554,3.99,0.561,7.108,0.635,0.235,0.69,0.286,2.765,0.545,19.338,18.583,0.71,1.26,2.1,0.621,1.008,0.504,1.141,0.475
26,1.596,0.314,2.246,1.83,0.382,3.223,4.248,0.48,6.372,0.677,0.219,0.725,0.249,2.587,0.549,16.6,17.384,0.589,1.448,1.98,0.675,1.182,0.635,1.041,0.402
27,1.879,0.352,2.637,2.115,0.413,3.783,4.242,0.486,5.718,0.778,0.206,0.804,0.208,2.449,0.562,13.673,15.641,0.514,1.581,1.923,0.704,1.33,0.746,0.903,0.348
