itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,1.099,0.473,5.672,3.832,1.499,10.75,3.38,0.526,14.55,0.733,0.154,3.663,0.531,1.153,0.264,7.578,3.619,0.734,0.91,0.538,1.496,0.362,0.349,0.52,0.29
2,1.226,0.452,4.041,2.922,1.242,9.041,2.877,0.441,15.566,0.861,0.152,2.744,0.417,0.919,0.288,8.195,3.573,0.879,0.86,0.55,1.529,0.383,0.437,0.503,0.295
3,1.255,0.418,2.981,2.019,0.949,6.874,2.57,0.361,18.668,0.959,0.152,1.878,0.308,0.776,0.301,8.079,3.276,1.084,0.783,0.564,1.721,0.41,0.548,0.502,0.294
4,1.197,0.384,2.801,1.342,0.711,4.815,2.412,0.306,22.263,1.006,0.158,1.257,0.231,0.725,0.296,7.234,2.853,1.312,0.692,0.575,2.087,0.445,0.648,0.504,0.293
5,1.095,0.359,3.493,0.949,0.575,3.283,2.315,0.281,24.819,0.996,0.168,0.913,0.195,0.731,0.269,5.92,2.449,1.501,0.602,0.573,2.467,0.504,0.709,0.502,0.298
6,1.0,0.34,4.746,0.763,0.525,2.438,2.17,0.283,24.584,0.936,0.181,0.757,0.188,0.772,0.229,4.45,2.125,1.583,0.531,0.55,2.674,0.586,0.718,0.498,0.314
7,0.954,0.317,6.068,0.657,0.51,2.176,1.986,0.308,21.625,0.84,0.19,0.666,0.196,0.859,0.19,3.171,1.921,1.531,0.492,0.508,2.631,0.694,0.678,0.495,0.34
8,0.944,0.285,6.923,0.57,0.484,2.238,1.839,0.344,16.447,0.727,0.194,0.578,0.204,0.992,0.165,2.25,1.826,1.375,0.49,0.456,2.29,0.811,0.607,0.498,0.365
9,0.93,0.243,7.032,0.494,0.436,2.408,1.735,0.386,11.3,0.612,0.191,0.482,0.209,1.135,0.159,1.701,1.836,1.181,0.518,0.407,1.761,0.911,0.524,0.501,0.381
10,0.855,0.201,6.355,0.446,0.376,2.321,1.664,0.422,6.964,0.502,0.184,0.391,0.212,1.238,0.169,1.46,1.96,1.02,0.56,0.369,1.192,0.972,0.443,0.499,0.38
