itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,1.586,0.777,2.967,2.305,0.56,2.419,1.436,0.585,13.1,0.59,0.195,0.794,0.314,1.215,0.288,3.932,1.789,1.307,1.023,0.606,503.411,41.138,49.832,14.699,5.586
2,1.77,0.767,2.714,2.602,0.598,2.676,2.429,0.861,14.545,0.681,0.225,0.887,0.322,1.922,0.445,4.401,1.754,1.23,1.044,0.659,336.916,29.727,33.118,10.093,3.953
3,1.921,0.739,2.804,2.915,0.634,3.418,3.588,1.208,19.367,0.811,0.257,1.042,0.337,2.701,0.611,4.758,1.734,1.119,1.02,0.687,181.297,18.0,17.834,5.762,2.418
4,2.025,0.687,3.129,3.239,0.668,4.429,4.741,1.661,19.141,0.94,0.278,1.279,0.353,3.531,0.763,4.942,1.732,1.002,0.946,0.676,73.3,8.827,7.417,2.683,1.324
5,2.066,0.613,3.525,3.498,0.702,5.717,5.678,2.225,21.998,1.036,0.28,1.57,0.361,4.226,0.888,5.056,1.764,0.915,0.831,0.623,19.703,3.432,2.416,1.083,0.747
6,2.027,0.523,3.982,3.611,0.734,6.756,6.242,2.828,20.896,1.062,0.263,1.86,0.354,4.786,0.985,5.118,1.854,0.893,0.699,0.543,4.063,1.277,1.045,0.544,0.534
7,1.901,0.433,4.141,3.524,0.754,7.631,6.34,3.33,20.836,1.019,0.235,2.079,0.333,5.026,1.054,5.128,1.994,0.957,0.588,0.454,2.767,0.939,0.939,0.45,0.465
8,1.715,0.354,4.088,3.29,0.753,8.02,6.034,3.581,18.761,0.917,0.21,2.182,0.303,4.998,1.1,5.022,2.182,1.072,0.529,0.381,2.875,0.987,0.915,0.432,0.426
9,1.512,0.299,3.675,2.998,0.731,8.194,5.471,3.496,15.689,0.792,0.2,2.132,0.277,4.694,1.125,4.693,2.444,1.189,0.534,0.342,2.875,1.112,0.818,0.424,0.408
10,1.334,0.275,3.159,2.709,0.696,8.04,4.937,3.086,13.638,0.68,0.208,1.964,0.264,4.22,1.135,4.237,2.793,1.269,0.599,0.345,2.761,1.329,0.687,0.435,0.412
11,1.212,0.282,2.517,2.488,0.656,7.569,4.654,2.465,10.485,0.615,0.229,1.747,0.266,3.679,1.142,3.684,3.262,1.316,0.708,0.383,2.628,1.643,0.575,0.475,0.429
12,1.138,0.313,1.98,2.331,0.617,6.926,4.852,1.805,9.667,0.594,0.25,1.535,0.279,3.174,1.156,3.32,3.799,1.352,0.831,0.441,2.486,2.039,0.512,0.545,0.451
13,1.08,0.356,1.556,2.171,0.58,6.162,5.542,1.269,9.928,0.601,0.259,1.351,0.293,2.796,1.181,3.277,4.285,1.429,0.936,0.496,2.401,2.448,0.503,0.628,0.467
14,0.994,0.392,1.306,1.948,0.543,5.508,6.761,0.958,12.306,0.601,0.254,1.184,0.301,2.567,1.209,3.628,4.568,1.571,0.995,0.529,2.315,2.764,0.531,0.699,0.471
15,0.869,0.409,1.157,1.672,0.5,4.964,8.276,0.865,14.2,0.578,0.237,1.02,0.296,2.447,1.218,4.203,4.558,1.755,0.997,0.528,2.215,2.892,0.577,0.733,0.456
16,0.741,0.404,1.134,1.408,0.449,4.737,9.835,0.92,15.753,0.537,0.215,0.863,0.278,2.403,1.185,4.773,4.286,1.905,0.946,0.493,2.046,2.798,0.623,0.725,0.422
17,0.654,0.379,1.196,1.216,0.388,4.82,11.274,1.042,15.815,0.494,0.197,0.728,0.252,2.489,1.101,5.081,3.883,1.934,0.862,0.435,1.785,2.539,0.695,0.684,0.377
18,0.621,0.345,1.384,1.128,0.327,5.062,12.804,1.183,14.248,0.471,0.189,0.629,0.225,2.769,0.975,5.063,3.506,1.788,0.768,0.373,1.479,2.234,0.84,0.627,0.329
19,0.625,0.313,1.569,1.127,0.275,5.252,14.709,1.325,12.675,0.481,0.19,0.58,0.204,3.274,0.838,4.754,3.254,1.478,0.68,0.321,1.241,1.983,1.082,0.563,0.289
20,0.618,0.292,1.755,1.162,0.236,5.247,17.019,1.467,11.323,0.529,0.197,0.575,0.192,3.949,0.725,4.271,3.119,1.082,0.61,0.287,1.199,1.84,1.412,0.495,0.263
21,0.566,0.288,1.847,1.182,0.205,5.065,19.362,1.609,11.41,0.61,0.206,0.599,0.188,4.688,0.663,3.804,3.024,0.733,0.574,0.272,1.321,1.79,1.783,0.427,0.252
22,0.482,0.304,1.891,1.159,0.178,4.766,21.0,1.74,12.484,0.705,0.213,0.624,0.188,5.295,0.665,3.476,2.891,0.527,0.593,0.268,1.567,1.798,2.121,0.365,0.248
23,0.414,0.338,1.899,1.09,0.154,4.363,21.187,1.835,14.108,0.791,0.217,0.636,0.187,5.559,0.737,3.272,2.72,0.503,0.672,0.268,1.761,1.837,2.347,0.32,0.243
24,0.415,0.386,2.0,1.006,0.143,3.977,19.675,1.875,15.423,0.847,0.22,0.638,0.185,5.379,0.874,3.14,2.571,0.626,0.792,0.274,1.844,1.88,2.398,0.296,0.234
25,0.512,0.436,2.329,0.973,0.155,3.78,16.885,1.871,15.884,0.859,0.224,0.632,0.185,4.865,1.048,3.152,2.486,0.821,0.917,0.288,1.792,1.906,2.261,0.287,0.219
26,0.696,0.474,2.864,1.053,0.194,3.869,13.694,1.852,15.261,0.829,0.231,0.614,0.192,4.205,1.214,3.396,2.481,1.001,1.013,0.313,1.662,1.901,1.989,0.282,0.202
27,0.923,0.487,3.573,1.25,0.255,4.216,11.072,1.851,14.236,0.779,0.24,0.586,0.205,3.626,1.324,3.894,2.535,1.092,1.051,0.35,1.537,1.863,1.663,0.272,0.191
28,1.135,0.476,4.243,1.495,0.33,4.585,9.52,1.894,13.531,0.745,0.249,0.57,0.226,3.275,1.35,4.49,2.599,1.066,1.026,0.398,1.424,1.802,1.398,0.257,0.189
29,1.269,0.448,4.7,1.676,0.407,4.692,8.846,1.974,14.659,0.756,0.254,0.602,0.247,3.125,1.301,4.984,2.593,0.943,0.953,0.447,1.336,1.73,1.273,0.248,0.196
30,1.302,0.412,4.758,1.708,0.481,4.304,8.46,2.057,17.171,0.813,0.254,0.696,0.266,3.06,1.214,5.127,2.449,0.77,0.86,0.484,1.203,1.67,1.307,0.249,0.211
31,1.265,0.38,4.457,1.593,0.55,3.497,7.781,2.088,21.119,0.888,0.247,0.841,0.281,2.961,1.136,4.84,2.18,0.619,0.777,0.498,1.03,1.647,1.451,0.264,0.231
32,1.191,0.354,3.897,1.395,0.616,2.494,6.679,2.047,24.86,0.927,0.235,0.996,0.295,2.824,1.102,4.266,1.855,0.555,0.715,0.486,0.819,1.684,1.62,0.287,0.256
33,1.137,0.334,3.248,1.212,0.68,1.627,5.544,1.96,27.746,0.891,0.218,1.119,0.309,2.763,1.128,3.684,1.559,0.614,0.669,0.451,0.651,1.776,1.753,0.313,0.284
34,1.142,0.315,2.626,1.11,0.734,1.081,4.771,1.883,29.363,0.775,0.199,1.183,0.323,2.913,1.202,3.356,1.36,0.791,0.633,0.404,0.566,1.867,1.826,0.332,0.314
35,1.199,0.292,2.139,1.095,0.767,0.946,4.562,1.881,29.528,0.616,0.178,1.187,0.331,3.378,1.301,3.439,1.257,1.045,0.614,0.36,0.596,1.901,1.835,0.337,0.343
36,1.289,0.267,1.842,1.118,0.762,1.093,4.919,1.987,28.588,0.467,0.159,1.135,0.329,4.111,1.394,3.856,1.195,1.304,0.619,0.328,0.727,1.839,1.797,0.329,0.369
37,1.396,0.245,1.78,1.137,0.712,1.432,5.801,2.175,26.767,0.389,0.144,1.041,0.314,4.898,1.455,4.361,1.152,1.493,0.649,0.313,0.896,1.684,1.739,0.308,0.39
38,1.59,0.242,2.088,1.2,0.644,1.902,7.129,2.379,24.689,0.456,0.135,0.97,0.29,5.516,1.466,4.658,1.195,1.581,0.696,0.313,1.1,1.496,1.681,0.278,0.407
39,1.978,0.276,3.031,1.403,0.599,2.641,8.802,2.53,22.321,0.729,0.135,0.992,0.263,5.809,1.416,4.594,1.39,1.596,0.756,0.319,1.368,1.351,1.62,0.253,0.42
40,2.586,0.359,4.754,1.833,0.616,3.871,10.705,2.561,20.197,1.217,0.143,1.158,0.242,5.72,1.319,4.294,1.759,1.586,0.821,0.323,1.749,1.311,1.527,0.24,0.428
41,3.317,0.479,7.098,2.462,0.703,5.653,12.67,2.437,18.825,1.854,0.159,1.455,0.233,5.241,1.212,3.96,2.243,1.589,0.882,0.322,2.261,1.408,1.378,0.245,0.427
42,3.954,0.605,9.643,3.138,0.831,7.758,15.068,2.242,19.964,2.487,0.182,1.811,0.237,4.622,1.181,3.891,2.699,1.616,0.934,0.322,2.807,1.619,1.192,0.273,0.413
43,4.268,0.699,11.683,3.636,0.945,9.662,18.675,2.148,25.328,2.937,0.208,2.109,0.252,4.363,1.346,4.198,2.946,1.651,0.971,0.33,3.324,1.868,1.011,0.315,0.386
44,4.093,0.729,12.674,3.745,0.994,10.809,24.074,2.297,35.228,3.054,0.235,2.224,0.271,4.907,1.766,4.77,2.861,1.673,0.981,0.35,3.615,2.052,0.86,0.356,0.352
45,3.421,0.688,12.192,3.401,0.954,10.82,30.9,2.721,48.818,2.786,0.257,2.11,0.291,6.375,2.385,5.337,2.471,1.664,0.96,0.378,3.702,2.099,0.745,0.378,0.32
46,2.476,0.595,10.637,2.759,0.847,9.827,37.989,3.308,62.194,2.232,0.27,1.843,0.305,8.424,3.029,5.775,1.933,1.621,0.916,0.407,3.553,1.997,0.672,0.382,0.301
47,1.554,0.497,8.6,2.054,0.72,8.263,43.287,3.845,71.821,1.611,0.276,1.572,0.312,10.436,3.482,6.025,1.436,1.564,0.867,0.425,3.382,1.784,0.663,0.383,0.3
48,0.985,0.436,7.16,1.544,0.622,6.878,44.974,4.134,73.707,1.164,0.277,1.437,0.311,11.707,3.578,6.196,1.143,1.505,0.831,0.421,3.189,1.53,0.741,0.397,0.313
49,0.914,0.429,6.806,1.359,0.574,6.059,42.436,4.101,68.646,1.024,0.28,1.474,0.307,11.767,3.291,6.356,1.14,1.457,0.818,0.395,3.111,1.31,0.91,0.431,0.331
50,1.24,0.47,7.52,1.425,0.566,5.934,36.682,3.825,58.688,1.162,0.288,1.598,0.304,10.608,2.744,6.525,1.409,1.429,0.822,0.353,2.978,1.153,1.138,0.48,0.344
51,1.716,0.536,8.662,1.545,0.573,6.169,29.617,3.48,48.14,1.415,0.297,1.659,0.302,8.696,2.135,6.516,1.85,1.406,0.826,0.307,2.805,1.031,1.354,0.539,0.346
52,2.063,0.607,9.455,1.528,0.576,6.304,23.128,3.228,40.579,1.593,0.3,1.548,0.299,6.57,1.642,6.161,2.301,1.373,0.817,0.27,2.438,0.911,1.482,0.601,0.338
