itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,13.098,1.248,91.421,8.601,1.406,51.727,0.193,2.71,1.676,3.699,0.383,3.214,0.395,0.418,0.576,1.535,0.373,0.573,1.182,0.204,1.242,2.212,1.631,3.889,1.106
2,13.453,1.254,88.312,9.064,1.327,49.962,0.237,2.641,2.027,3.689,0.448,3.291,0.471,0.415,0.597,1.989,0.518,0.583,1.213,0.207,1.712,2.295,1.658,3.74,1.092
3,12.277,1.217,74.86,8.587,1.205,42.581,0.329,2.397,2.28,3.639,0.513,3.319,0.544,0.467,0.636,2.435,0.688,0.645,1.202,0.213,2.126,2.228,1.919,3.524,1.074
4,10.559,1.143,58.678,7.697,1.084,33.859,0.475,2.052,2.301,3.593,0.556,3.315,0.593,0.563,0.681,2.772,0.845,0.748,1.153,0.221,2.321,2.015,2.368,3.26,1.048
5,9.489,1.06,48.729,7.069,1.012,28.666,0.67,1.71,2.144,3.632,0.558,3.328,0.607,0.682,0.725,2.883,0.95,0.857,1.082,0.232,2.329,1.724,2.885,2.995,1.028
6,9.634,1.006,49.715,7.065,1.013,29.493,0.877,1.46,1.805,3.757,0.52,3.379,0.582,0.795,0.765,2.748,0.977,0.946,1.006,0.247,2.122,1.447,3.352,2.786,1.036
7,10.715,1.009,60.053,7.545,1.083,35.615,1.04,1.338,1.485,3.872,0.46,3.433,0.532,0.866,0.801,2.473,0.935,1.008,0.935,0.268,1.901,1.239,3.705,2.657,1.079
8,11.767,1.064,72.36,7.977,1.185,42.969,1.104,1.311,1.216,3.836,0.405,3.4,0.475,0.885,0.838,2.153,0.855,1.06,0.866,0.295,1.705,1.091,3.956,2.571,1.145
9,11.773,1.136,78.037,7.8,1.275,46.776,1.052,1.311,1.113,3.567,0.373,3.223,0.429,0.869,0.876,1.931,0.779,1.12,0.79,0.325,1.66,0.989,4.22,2.473,1.202
10,10.336,1.191,72.503,6.829,1.329,44.432,0.911,1.273,1.075,3.088,0.367,2.909,0.401,0.852,0.915,1.827,0.753,1.201,0.709,0.351,1.78,0.947,4.619,2.369,1.223
11,7.861,1.212,57.364,5.33,1.347,36.627,0.747,1.165,1.098,2.496,0.377,2.525,0.392,0.86,0.952,1.81,0.795,1.297,0.638,0.368,2.031,1.014,5.101,2.302,1.197
12,5.273,1.191,38.849,3.912,1.331,27.057,0.636,1.001,1.086,1.945,0.392,2.191,0.395,0.895,0.979,1.845,0.904,1.376,0.591,0.369,2.466,1.211,5.465,2.293,1.137
13,3.68,1.136,24.917,3.246,1.285,20.497,0.641,0.843,1.07,1.562,0.399,2.009,0.399,0.956,0.985,1.826,1.084,1.408,0.57,0.352,2.862,1.539,5.469,2.327,1.073
14,3.743,1.062,20.002,3.695,1.22,19.778,0.764,0.762,1.066,1.392,0.397,2.004,0.397,1.036,0.97,1.86,1.317,1.376,0.568,0.32,3.282,1.951,4.992,2.372,1.038
15,5.298,0.99,24.735,5.07,1.148,25.084,0.968,0.799,1.101,1.398,0.386,2.121,0.386,1.119,0.939,1.824,1.567,1.289,0.573,0.28,3.5,2.344,4.13,2.373,1.053
16,7.5,0.932,35.205,6.749,1.082,33.743,1.199,0.94,1.16,1.508,0.372,2.273,0.37,1.186,0.907,1.825,1.797,1.166,0.571,0.243,3.51,2.615,3.142,2.297,1.118
17,9.277,0.894,45.321,7.983,1.035,41.389,1.403,1.133,1.19,1.626,0.356,2.353,0.348,1.223,0.888,1.775,1.965,1.026,0.555,0.215,3.302,2.697,2.323,2.161,1.208
18,10.103,0.868,50.719,8.451,1.014,44.839,1.56,1.306,1.159,1.686,0.336,2.29,0.323,1.224,0.882,1.756,2.051,0.889,0.522,0.198,2.944,2.61,1.874,1.998,1.288
19,9.859,0.843,48.983,8.131,1.019,42.331,1.67,1.396,1.05,1.639,0.31,2.065,0.297,1.176,0.883,1.729,2.054,0.754,0.475,0.19,2.589,2.448,1.84,1.844,1.328
20,8.737,0.814,41.303,7.225,1.038,35.107,1.743,1.376,0.916,1.483,0.28,1.72,0.271,1.08,0.877,1.757,2.001,0.628,0.424,0.186,2.307,2.322,2.136,1.721,1.313
21,7.171,0.781,29.832,6.069,1.053,25.106,1.792,1.264,0.777,1.257,0.252,1.346,0.252,0.947,0.855,1.771,1.927,0.511,0.384,0.185,2.12,2.297,2.593,1.62,1.249
22,5.644,0.745,18.246,5.004,1.043,15.418,1.807,1.114,0.712,1.024,0.236,1.036,0.245,0.793,0.82,1.8,1.852,0.405,0.36,0.186,2.024,2.38,3.064,1.514,1.157
23,4.538,0.704,9.507,4.3,0.993,8.253,1.784,1.0,0.683,0.838,0.243,0.84,0.252,0.636,0.781,1.82,1.798,0.32,0.347,0.192,1.904,2.568,3.464,1.377,1.068
24,3.978,0.659,4.608,4.035,0.901,4.247,1.722,0.977,0.697,0.722,0.272,0.76,0.271,0.5,0.756,1.834,1.761,0.264,0.339,0.204,1.721,2.818,3.71,1.222,1.01
