itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,8.004,1.552,35.136,7.381,1.401,28.125,0.813,1.843,1.572,4.286,0.321,4.164,0.31,1.106,0.75,3.719,2.181,1.694,0.774,0.376,2.415,2.316,3.471,2.09,1.446
2,12.041,1.515,58.169,10.409,1.336,44.824,0.869,1.639,2.176,5.393,0.305,5.323,0.29,0.904,0.727,4.598,2.436,2.235,0.785,0.383,2.511,2.393,3.191,1.807,1.531
3,15.812,1.425,80.969,13.211,1.236,61.219,0.947,1.393,2.698,6.346,0.298,6.34,0.27,0.685,0.701,5.551,2.674,2.746,0.765,0.388,2.579,2.503,2.886,1.634,1.656
4,18.156,1.315,96.288,14.948,1.131,72.082,1.034,1.157,3.0,6.801,0.304,6.849,0.26,0.539,0.693,6.225,2.81,3.053,0.731,0.388,2.603,2.711,2.602,1.673,1.782
5,18.29,1.202,98.338,15.057,1.038,73.199,1.108,0.975,2.99,6.553,0.323,6.612,0.262,0.536,0.717,6.266,2.783,3.018,0.705,0.381,2.567,3.032,2.358,1.957,1.861
6,16.176,1.097,86.281,13.457,0.96,63.966,1.155,0.876,2.695,5.63,0.349,5.642,0.277,0.686,0.765,5.597,2.57,2.62,0.71,0.363,2.513,3.377,2.155,2.461,1.86
7,12.566,1.003,64.268,10.684,0.891,47.506,1.161,0.867,2.232,4.313,0.374,4.231,0.298,0.943,0.815,4.426,2.228,1.984,0.753,0.336,2.524,3.614,1.996,3.092,1.792
8,8.534,0.918,39.524,7.516,0.823,29.232,1.114,0.934,1.752,2.995,0.392,2.802,0.317,1.218,0.839,3.142,1.841,1.32,0.824,0.305,2.661,3.6,1.874,3.727,1.715
9,5.099,0.862,19.106,4.739,0.768,14.364,1.018,1.051,1.367,2.006,0.402,1.738,0.331,1.41,0.827,2.101,1.506,0.836,0.909,0.279,2.899,3.284,1.755,4.249,1.689
10,2.848,0.864,6.84,2.833,0.748,5.693,0.899,1.185,1.148,1.461,0.41,1.194,0.34,1.462,0.787,1.546,1.254,0.643,0.989,0.269,3.159,2.758,1.613,4.557,1.741
