itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,17.93,2.445,67.957,17.207,4.047,65.051,18.358,4.008,168.629,8.358,1.734,8.589,1.814,11.003,2.039,91.274,12.953,6.812,4.289,1.551,101.218,15.965,8.123,5.791,1.604
2,24.452,3.517,100.56,22.329,5.219,84.999,40.001,6.034,379.483,11.5,2.029,11.528,1.931,16.663,2.107,77.544,20.634,8.979,5.454,1.689,92.804,25.263,10.464,7.407,1.881
3,41.897,5.548,153.846,33.158,7.754,136.865,96.389,10.026,935.894,19.849,2.96,18.561,2.771,27.981,2.302,85.783,37.801,14.311,8.514,2.045,107.554,43.221,16.539,11.366,2.577
4,72.238,8.858,223.954,50.092,12.291,228.921,195.335,16.12,1846.193,35.468,4.706,31.313,4.57,45.737,2.582,130.353,66.898,24.466,14.204,2.731,159.713,71.504,28.339,18.605,3.869
5,111.33,13.197,292.59,71.131,18.556,348.124,323.672,23.241,2958.018,56.969,7.094,48.652,7.178,67.192,2.874,210.332,104.363,39.05,22.018,3.742,247.084,106.386,45.269,28.522,5.726
6,151.68,17.755,341.486,93.086,25.236,468.671,446.619,29.404,4001.992,78.796,9.594,66.164,10.017,87.312,3.113,310.481,142.463,54.718,30.163,4.924,355.226,141.161,63.189,38.865,7.863
7,183.218,21.556,368.07,111.5,30.549,559.235,525.357,32.798,4638.108,94.764,11.521,78.669,12.275,100.619,3.269,406.624,171.325,67.728,36.369,6.039,461.085,167.2,77.402,46.681,9.847
8,199.471,23.814,380.761,123.49,32.947,602.163,534.008,32.519,4633.149,100.633,12.324,82.394,13.245,103.591,3.346,477.158,183.823,75.181,38.769,6.859,543.415,178.621,84.417,49.508,11.256
9,199.088,24.222,399.376,127.868,31.841,588.402,471.523,28.969,3996.777,95.724,11.828,76.667,12.641,95.953,3.363,504.545,178.027,76.094,36.745,7.237,582.32,174.027,83.265,46.514,11.823
10,185.1,22.97,425.758,124.798,27.824,529.071,362.059,23.554,2927.525,82.884,10.279,64.056,10.717,80.677,3.33,486.234,157.716,71.357,31.165,7.131,573.155,156.685,75.611,38.875,11.516
11,162.967,20.562,452.111,115.45,22.299,443.938,241.976,17.967,1805.728,66.763,8.207,48.958,8.13,62.322,3.244,431.486,130.156,63.053,23.888,6.602,521.554,132.555,64.612,29.141,10.508
12,137.458,17.577,458.475,101.019,16.787,352.984,143.681,13.503,892.113,51.81,6.169,35.59,5.621,45.393,3.088,356.1,102.325,53.366,16.893,5.775,441.241,107.115,53.306,19.994,9.086
13,111.325,14.449,425.864,82.975,12.296,270.573,81.766,10.521,366.574,39.973,4.505,26.016,3.69,32.388,2.837,277.535,78.147,43.615,11.467,4.783,350.553,83.531,43.285,13.135,7.519
14,86.06,11.328,348.829,63.575,8.988,197.326,50.837,8.499,137.74,30.536,3.266,19.591,2.444,23.632,2.478,202.262,58.593,33.932,7.814,3.733,257.417,62.99,34.228,8.815,5.984
15,62.51,8.338,242.892,45.143,6.512,133.37,35.63,6.793,77.792,22.161,2.337,14.722,1.709,17.737,2.046,137.062,43.165,24.219,5.405,2.734,172.36,45.564,25.267,6.311,4.599
16,42.607,5.835,143.256,30.348,4.622,83.137,24.507,5.313,57.4,14.706,1.636,10.821,1.275,14.217,1.626,86.553,31.847,15.327,3.739,1.906,104.664,31.739,16.838,4.915,3.471
17,29.466,4.36,78.257,21.869,3.552,52.361,17.772,4.614,44.559,10.065,1.211,9.095,1.081,13.267,1.329,56.88,26.173,9.447,2.86,1.376,63.379,23.376,11.299,4.605,2.731
18,24.81,4.177,56.113,20.386,3.467,44.106,16.488,4.857,43.654,9.09,1.106,10.064,1.13,14.914,1.213,50.581,26.556,7.536,2.849,1.188,50.984,21.158,9.881,5.381,2.431
19,26.449,4.859,64.435,23.772,4.019,52.802,19.044,5.682,51.834,10.501,1.226,12.601,1.332,17.761,1.246,61.661,30.78,8.463,3.377,1.232,60.712,23.28,11.572,6.722,2.446
20,29.763,5.684,80.985,27.916,4.657,67.003,22.68,6.501,64.203,12.28,1.4,15.002,1.534,19.986,1.343,76.87,34.926,10.142,3.948,1.331,76.697,26.192,14.121,7.86,2.573
21,30.99,6.061,85.655,29.322,4.947,72.597,24.881,6.825,71.535,13.029,1.483,16.007,1.615,20.114,1.427,81.493,35.883,10.982,4.198,1.345,82.385,27.01,15.58,8.22,2.656
22,28.392,5.802,79.605,26.672,4.733,68.193,24.357,6.457,70.296,12.256,1.429,15.146,1.544,17.75,1.466,74.682,32.257,10.323,4.031,1.245,76.683,24.336,15.047,7.644,2.65
23,22.779,5.02,61.687,20.891,4.096,54.054,21.439,5.557,62.914,10.31,1.267,12.733,1.367,13.84,1.467,58.027,25.259,8.418,3.543,1.072,60.54,19.067,12.652,6.329,2.577
24,16.052,3.996,41.072,13.963,3.269,36.75,17.392,4.479,51.869,7.991,1.063,9.602,1.162,9.935,1.459,38.039,17.163,5.966,2.923,0.889,40.545,12.974,9.226,4.727,2.488
25,10.073,3.039,21.921,7.931,2.503,20.555,13.812,3.595,41.325,6.12,0.891,6.675,1.001,7.489,1.473,20.489,10.115,3.735,2.369,0.752,22.216,7.762,5.833,3.321,2.434
26,5.984,2.325,9.603,4.033,1.945,9.813,11.709,3.113,33.117,5.115,0.8,4.527,0.912,7.045,1.529,9.248,5.294,2.238,1.999,0.684,9.789,4.349,3.295,2.42,2.447
27,3.864,1.859,4.064,2.327,1.615,4.932,11.151,3.024,26.876,4.849,0.796,3.247,0.875,8.149,1.624,4.698,2.662,1.549,1.821,0.682,3.895,2.689,1.876,2.073,2.525
28,3.046,1.541,3.025,2.022,1.441,3.974,11.434,3.129,22.024,4.856,0.844,2.566,0.85,9.704,1.726,4.279,1.458,1.403,1.768,0.722,2.266,2.118,1.353,2.155,2.634
