itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,232.688,7.886,203.538,238.464,6.548,206.279,128.185,16.742,133.14,1.477,11.26,1.008,13.018,3.588,30.077,217.768,254.332,1.798,7.642,32.106,217.454,243.719,2.14,7.302,10.893
2,239.181,7.578,207.825,243.476,7.947,207.408,135.478,19.075,147.701,1.56,10.482,1.16,13.255,4.312,29.602,223.994,258.674,2.25,8.731,31.488,220.253,245.122,2.269,7.416,10.159
3,246.454,7.516,210.993,246.441,9.706,207.741,142.064,21.48,155.704,1.639,9.914,1.379,13.09,5.193,28.311,230.455,264.136,2.827,9.774,30.308,223.375,249.505,2.413,7.127,9.626
4,253.501,7.782,211.626,244.865,11.24,205.824,149.436,23.744,157.25,1.648,9.505,1.645,12.546,5.981,26.076,236.567,272.005,3.378,10.555,28.568,228.417,256.176,2.511,6.556,9.389
5,259.228,8.28,209.638,237.483,12.052,201.13,158.714,25.385,155.837,1.608,9.099,1.991,11.73,6.513,22.926,242.717,282.797,3.775,10.863,26.363,236.933,263.612,2.564,5.926,9.451
6,261.896,8.767,206.164,224.377,11.996,193.382,169.416,25.94,155.345,1.613,8.59,2.523,10.764,6.922,19.248,249.961,295.489,3.993,10.641,23.854,248.626,270.711,2.682,5.522,9.712
7,259.803,9.062,202.802,207.27,11.244,183.41,178.93,25.364,158.939,1.795,8.015,3.335,9.775,7.704,15.77,258.785,307.898,4.084,10.052,21.345,260.62,276.917,2.989,5.609,10.016
8,252.381,9.076,200.797,189.351,10.117,172.594,184.571,23.949,166.866,2.24,7.533,4.438,8.882,9.251,13.245,267.788,317.295,4.092,9.385,19.233,268.285,281.864,3.51,6.261,10.2
9,240.968,8.834,200.434,174.764,8.958,163.244,184.429,22.344,175.461,2.919,7.314,5.645,8.17,11.491,12.047,274.332,321.837,4.088,8.984,17.871,267.629,284.906,4.166,7.311,10.199
10,228.895,8.476,201.117,167.358,7.99,157.449,178.825,21.364,181.214,3.661,7.447,6.654,7.696,13.786,12.153,275.909,321.1,4.066,9.033,17.415,257.428,284.944,4.767,8.44,10.068
