itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,206.642,8.958,245.815,218.358,6.36,261.873,257.82,38.937,636.619,3.306,17.816,3.762,16.658,62.229,27.276,229.906,209.296,6.641,12.468,24.188,221.263,197.124,3.117,14.152,28.489
2,211.237,8.53,246.378,213.488,6.054,262.912,262.508,39.122,675.055,3.867,16.993,4.566,16.02,69.037,27.561,231.096,211.922,7.59,12.773,22.608,222.942,197.802,3.752,14.295,26.397
3,213.275,8.35,243.763,209.047,6.14,259.125,267.862,37.769,738.018,4.471,15.738,5.728,15.126,70.355,27.55,236.253,215.133,8.753,12.499,21.154,227.143,200.373,5.11,13.903,24.264
4,212.094,8.304,239.245,205.162,6.486,250.724,278.506,35.025,812.943,5.05,14.311,7.101,13.896,66.09,27.086,244.826,219.903,9.928,11.632,19.697,232.811,204.654,7.327,13.135,22.318
5,207.975,8.331,233.823,201.39,6.966,240.035,294.595,31.912,886.201,5.547,12.961,8.527,12.401,59.126,26.116,255.79,226.487,10.841,10.413,18.06,239.56,210.069,10.302,12.298,20.59
6,202.043,8.407,227.91,196.802,7.488,230.151,309.707,29.792,939.555,5.931,11.827,9.722,10.899,53.068,24.738,267.44,234.335,11.253,9.205,16.251,247.304,216.164,13.718,11.754,18.987
7,195.892,8.522,221.576,191.048,7.967,223.179,315.04,29.777,953.267,6.102,10.936,10.384,9.736,50.176,23.184,277.946,242.017,10.996,8.331,14.491,255.905,222.56,16.919,11.799,17.384
8,190.696,8.695,214.93,184.584,8.32,219.132,305.182,32.029,935.676,5.979,10.26,10.217,9.235,50.379,21.75,285.891,248.277,10.086,7.949,13.141,264.537,228.602,19.204,12.483,15.83
9,187.037,8.974,208.835,178.862,8.457,216.376,281.628,35.252,916.449,5.47,9.832,9.18,9.707,50.872,20.687,289.835,251.962,8.588,7.943,12.695,271.61,233.171,19.875,13.503,14.784
10,184.868,9.389,205.193,175.275,8.343,212.858,254.727,37.585,891.839,4.577,9.745,7.439,11.434,49.442,20.199,289.26,252.33,6.696,7.984,13.765,274.989,234.619,18.716,14.281,15.012
