itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,4.968,6.762,51.834,4.025,14.127,18.367,4.872,8.913,11.719,9.288,8.775,2.435,13.49,7.353,12.607,10.761,7.869,19.167,17.204,19.998,17.166,14.84,13.764,19.85,15.643
2,6.125,7.806,56.725,4.222,14.88,19.44,6.415,10.413,11.467,10.404,11.8,2.208,17.512,8.163,17.105,11.797,11.206,25.436,20.942,28.372,21.984,17.111,19.272,23.402,21.718
3,6.927,8.037,52.694,4.319,14.118,18.513,7.768,10.909,12.329,10.348,14.462,2.321,21.045,8.467,21.29,14.207,14.064,29.543,22.701,35.578,25.849,17.69,23.814,24.533,27.01
4,7.24,7.374,43.007,4.141,12.144,15.322,8.552,10.234,12.424,9.164,15.969,2.779,22.907,8.049,23.864,15.477,15.664,30.307,21.978,39.329,29.046,16.444,26.116,22.934,29.786
5,7.889,6.044,36.403,3.802,9.605,12.569,8.529,8.694,13.012,7.37,15.788,3.508,22.363,6.984,23.919,16.152,15.581,27.513,19.073,38.269,30.644,13.947,25.489,19.17,29.016
6,9.877,4.491,41.873,3.51,7.215,13.921,7.735,6.914,12.082,5.687,13.907,4.392,19.46,5.581,21.392,15.174,13.919,22.168,14.929,32.616,31.164,11.069,22.15,14.401,24.847
7,13.595,3.149,63.317,3.446,5.429,17.069,6.413,5.502,10.873,4.619,10.851,5.262,15.004,4.231,17.101,13.534,11.252,15.893,10.683,24.096,30.335,8.548,17.12,9.869,18.547
8,18.318,2.26,97.996,3.624,4.322,26.809,4.894,4.73,9.146,4.287,7.455,5.842,10.217,3.176,12.372,11.032,8.315,10.278,7.184,15.18,28.027,6.712,11.786,6.39,11.94
9,22.467,1.82,127.603,3.923,3.665,32.156,3.491,4.469,7.365,4.349,4.515,5.902,6.209,2.442,8.442,8.859,5.728,6.243,4.754,8.01,24.496,5.413,7.309,4.173,6.603
10,24.36,1.66,146.608,4.111,3.17,38.875,2.385,4.37,6.07,4.382,2.483,5.351,3.552,1.937,5.971,6.642,3.846,3.867,3.237,3.586,19.768,4.354,4.235,2.933,3.26
11,23.068,1.596,138.816,4.008,2.687,36.684,1.617,4.155,5.374,4.041,1.387,4.314,2.179,1.567,4.891,5.155,2.619,2.67,2.342,1.647,14.682,3.342,2.444,2.267,1.719
12,18.95,1.528,116.369,3.56,2.236,32.866,1.133,3.812,5.396,3.306,0.986,3.138,1.644,1.313,4.658,4.867,1.835,2.188,1.914,1.216,9.971,2.42,1.536,1.942,1.284
13,13.3,1.447,79.784,2.906,1.878,24.281,0.816,3.454,5.83,2.401,0.987,2.152,1.501,1.179,4.713,9.086,2.551,2.937,2.013,1.43,6.626,1.685,1.091,1.797,1.267
14,7.768,1.398,45.947,2.275,1.641,16.364,0.633,3.217,6.241,1.714,1.227,1.597,1.584,1.157,4.827,30.647,10.024,7.731,3.337,2.254,4.545,1.199,0.87,1.717,1.404
15,4.042,1.402,23.5,1.882,1.513,10.369,0.549,3.176,6.307,1.635,1.575,1.5,1.817,1.229,4.937,84.841,30.925,19.676,6.825,3.989,3.545,0.948,0.742,1.639,1.614
