itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,6.609,0.253,34.377,3.861,0.272,18.377,2.356,3.053,27.509,0.749,0.294,0.722,0.262,1.939,3.25,2.598,1.58,0.692,0.309,0.376,1.743,1.495,0.211,0.46,0.396
2,6.028,0.253,29.769,3.763,0.28,16.03,2.409,2.416,27.86,0.624,0.291,0.627,0.247,2.157,2.914,2.477,1.698,0.619,0.33,0.354,1.605,1.675,0.19,0.531,0.359
3,4.955,0.276,22.416,3.375,0.351,12.297,2.43,1.954,27.832,0.486,0.283,0.529,0.244,2.277,2.792,2.326,1.848,0.526,0.387,0.33,1.513,1.812,0.202,0.634,0.337
4,3.765,0.338,14.411,2.848,0.494,8.11,2.43,1.757,26.971,0.379,0.277,0.452,0.257,2.267,2.864,2.057,1.945,0.462,0.481,0.314,1.36,1.883,0.242,0.763,0.342
5,2.791,0.434,7.885,2.336,0.682,4.673,2.394,1.883,25.122,0.341,0.283,0.416,0.287,2.122,3.056,1.84,1.929,0.475,0.599,0.32,1.235,1.896,0.329,0.906,0.376
6,2.168,0.542,5.271,1.915,0.862,3.435,2.291,2.327,22.614,0.389,0.304,0.428,0.33,1.903,3.281,1.738,1.798,0.625,0.716,0.353,1.1,1.856,0.489,1.041,0.429
7,1.935,0.628,7.051,1.619,0.977,4.2,2.14,3.008,19.88,0.523,0.337,0.495,0.376,1.693,3.487,1.835,1.624,0.974,0.799,0.409,1.006,1.769,0.738,1.139,0.486
8,2.08,0.674,13.013,1.475,0.999,7.129,1.99,3.785,17.484,0.736,0.375,0.618,0.417,1.548,3.677,2.087,1.519,1.562,0.829,0.473,0.914,1.639,1.065,1.179,0.536
9,2.532,0.689,20.27,1.483,0.946,10.33,1.882,4.486,15.504,1.015,0.42,0.793,0.454,1.457,3.9,2.435,1.565,2.346,0.816,0.536,0.834,1.47,1.433,1.162,0.578
10,3.097,0.702,27.265,1.584,0.866,13.205,1.86,4.967,14.33,1.337,0.491,0.999,0.495,1.406,4.246,2.795,1.748,3.181,0.796,0.597,0.742,1.271,1.768,1.115,0.624
11,3.563,0.757,31.288,1.708,0.818,14.617,1.929,5.189,13.672,1.654,0.609,1.202,0.558,1.365,4.837,3.108,1.976,3.843,0.813,0.671,0.664,1.067,1.993,1.087,0.697
12,3.709,0.892,30.836,1.758,0.857,13.879,2.063,5.241,13.434,1.883,0.786,1.351,0.656,1.332,5.738,3.27,2.11,4.121,0.902,0.77,0.602,0.897,2.06,1.125,0.814
13,3.425,1.122,26.175,1.672,1.006,11.512,2.209,5.283,13.124,1.95,1.009,1.398,0.787,1.314,6.867,3.269,2.05,3.916,1.075,0.893,0.58,0.796,1.97,1.254,0.971
14,2.77,1.426,18.812,1.446,1.247,8.156,2.322,5.465,12.723,1.812,1.237,1.317,0.936,1.353,7.993,3.09,1.803,3.304,1.311,1.026,0.597,0.778,1.761,1.452,1.145
15,1.972,1.739,11.326,1.144,1.519,4.924,2.362,5.805,12.407,1.516,1.42,1.136,1.075,1.489,8.792,2.739,1.492,2.514,1.556,1.152,0.631,0.833,1.492,1.656,1.301
16,1.286,1.988,5.66,0.859,1.751,2.722,2.339,6.17,12.444,1.177,1.514,0.932,1.175,1.758,8.981,2.278,1.294,1.824,1.748,1.254,0.68,0.925,1.221,1.799,1.414
17,0.884,2.113,2.644,0.69,1.885,1.543,2.304,6.421,13.669,0.93,1.509,0.791,1.223,2.176,8.47,1.771,1.336,1.434,1.838,1.331,0.741,1.018,0.986,1.834,1.475
