itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,3.646,2.172,5.755,2.973,2.127,4.683,1.831,1.823,3.541,1.65,1.038,1.366,1.097,1.993,2.122,3.445,1.885,0.62,1.697,0.919,1.753,2.349,1.339,2.912,1.915
2,3.419,1.886,5.862,3.081,1.961,4.724,2.087,1.823,3.629,1.779,1.012,1.54,1.048,2.238,2.112,3.297,2.088,0.635,1.6,0.881,1.55,2.52,1.334,2.919,1.858
3,3.138,1.757,5.791,3.098,1.895,4.829,2.226,1.896,3.596,2.052,0.992,1.837,0.992,2.403,2.082,3.185,2.367,0.648,1.547,0.894,1.435,2.739,1.35,2.944,1.779
4,2.83,1.771,5.761,2.987,1.91,5.03,2.219,2.016,3.374,2.355,0.986,2.196,0.945,2.402,2.065,3.11,2.694,0.647,1.544,0.96,1.426,2.962,1.367,2.971,1.738
5,2.518,1.857,5.812,2.74,1.947,5.406,2.099,2.13,3.102,2.55,1.0,2.5,0.924,2.202,2.093,3.076,3.017,0.628,1.583,1.063,1.506,3.132,1.352,2.965,1.772
6,2.254,1.939,6.013,2.407,1.955,5.83,1.958,2.195,2.835,2.581,1.037,2.662,0.945,1.847,2.183,3.051,3.27,0.607,1.637,1.171,1.63,3.202,1.311,2.894,1.87
7,2.07,1.961,6.111,2.05,1.906,6.124,1.868,2.195,2.669,2.45,1.09,2.646,1.009,1.467,2.326,2.996,3.39,0.61,1.679,1.26,1.773,3.141,1.269,2.755,1.98
8,1.965,1.913,6.008,1.757,1.812,6.153,1.847,2.156,2.626,2.203,1.14,2.465,1.095,1.228,2.498,2.876,3.333,0.651,1.69,1.317,1.909,2.953,1.247,2.582,2.034
9,1.948,1.822,5.511,1.629,1.711,5.786,1.867,2.134,2.624,1.901,1.167,2.18,1.169,1.228,2.668,2.731,3.103,0.714,1.673,1.343,2.021,2.672,1.272,2.426,1.992
10,2.035,1.727,4.827,1.719,1.637,5.201,1.853,2.166,2.664,1.595,1.16,1.864,1.205,1.431,2.81,2.589,2.724,0.786,1.632,1.344,2.12,2.338,1.359,2.324,1.863
11,2.235,1.657,4.162,1.991,1.603,4.537,1.743,2.252,2.712,1.338,1.119,1.571,1.193,1.701,2.897,2.488,2.269,0.874,1.577,1.33,2.182,1.982,1.483,2.284,1.695
12,2.517,1.612,3.71,2.324,1.599,3.898,1.528,2.353,2.743,1.353,1.049,1.458,1.14,1.965,2.892,2.48,1.834,1.093,1.513,1.306,2.232,1.633,1.67,2.283,1.548
13,2.819,1.575,3.67,2.608,1.603,3.365,1.25,2.405,2.725,1.901,0.961,1.71,1.069,2.247,2.765,2.554,1.541,1.611,1.445,1.272,2.267,1.332,1.989,2.302,1.464
14,3.123,1.541,4.009,2.847,1.612,2.911,1.007,2.381,2.623,3.058,0.867,2.39,1.001,2.589,2.515,2.69,1.502,2.49,1.413,1.225,2.258,1.131,2.469,2.362,1.449
15,3.426,1.505,4.585,3.118,1.631,2.517,0.91,2.301,2.55,4.603,0.781,3.373,0.954,3.014,2.187,2.848,1.749,3.617,1.456,1.161,2.169,1.063,3.069,2.477,1.482
16,3.73,1.455,5.091,3.516,1.656,2.139,1.031,2.199,2.336,6.081,0.713,4.37,0.931,3.458,1.858,2.997,2.244,4.701,1.574,1.084,1.984,1.141,3.661,2.603,1.531
17,4.003,1.385,5.278,4.068,1.687,1.804,1.353,2.111,2.061,7.034,0.67,5.098,0.922,3.829,1.607,3.102,2.868,5.423,1.722,1.0,1.722,1.385,4.143,2.669,1.566
18,4.192,1.301,5.069,4.684,1.72,1.568,1.792,2.054,1.632,7.205,0.649,5.405,0.912,4.018,1.483,3.236,3.472,5.567,1.828,0.918,1.452,1.791,4.47,2.61,1.571
19,4.247,1.217,4.456,5.192,1.746,1.457,2.246,2.025,1.253,6.653,0.64,5.314,0.885,3.97,1.483,3.519,3.897,5.123,1.85,0.839,1.276,2.299,4.642,2.417,1.544
20,4.109,1.142,3.746,5.386,1.738,1.536,2.615,1.995,0.968,5.656,0.631,4.954,0.831,3.702,1.56,3.947,4.011,4.279,1.784,0.764,1.277,2.793,4.68,2.13,1.496
21,3.76,1.067,3.048,5.14,1.668,1.753,2.804,1.921,0.873,4.579,0.616,4.493,0.757,3.312,1.651,4.606,3.773,3.334,1.653,0.699,1.475,3.144,4.608,1.819,1.44
22,3.27,0.979,2.694,4.506,1.517,2.1,2.794,1.778,0.934,3.694,0.595,4.044,0.674,2.959,1.707,5.063,3.256,2.538,1.493,0.648,1.801,3.268,4.436,1.553,1.386
23,2.75,0.877,2.555,3.677,1.3,2.439,2.627,1.587,1.063,3.092,0.576,3.653,0.601,2.74,1.709,5.36,2.634,2.021,1.335,0.619,2.157,3.168,4.179,1.385,1.338
24,2.296,0.776,2.548,2.883,1.063,2.652,2.404,1.399,1.217,2.704,0.566,3.32,0.554,2.653,1.667,5.14,2.09,1.776,1.195,0.614,2.405,2.908,3.847,1.341,1.299
25,1.97,0.714,2.519,2.299,0.881,2.752,2.232,1.274,1.3,2.415,0.574,3.044,0.548,2.613,1.606,4.673,1.757,1.715,1.074,0.634,2.499,2.61,3.463,1.435,1.276
26,1.788,0.731,2.533,2.033,0.821,2.892,2.163,1.246,1.266,2.156,0.606,2.837,0.587,2.534,1.551,3.943,1.687,1.74,0.972,0.677,2.483,2.427,3.055,1.68,1.283
27,1.738,0.848,2.787,2.1,0.921,3.337,2.186,1.312,1.231,1.951,0.653,2.739,0.663,2.407,1.508,3.232,1.865,1.815,0.904,0.733,2.466,2.462,2.676,2.068,1.331
28,1.795,1.045,3.355,2.428,1.153,4.145,2.238,1.436,1.248,1.802,0.699,2.718,0.754,2.244,1.467,2.771,2.214,1.918,0.891,0.785,2.517,2.704,2.319,2.541,1.419
29,1.95,1.267,4.199,2.892,1.436,5.211,2.236,1.566,1.555,1.658,0.727,2.664,0.831,2.035,1.414,2.587,2.609,1.973,0.949,0.819,2.661,3.034,1.94,3.01,1.522
30,2.192,1.444,5.044,3.357,1.675,6.187,2.12,1.652,2.013,1.478,0.723,2.485,0.876,1.782,1.347,2.641,2.922,1.922,1.06,0.829,2.829,3.3,1.541,3.365,1.606
31,2.499,1.526,5.545,3.703,1.798,6.651,1.916,1.665,2.438,1.299,0.685,2.222,0.874,1.519,1.268,2.815,3.078,1.761,1.177,0.813,2.89,3.42,1.232,3.507,1.633
32,2.809,1.508,5.502,3.837,1.79,6.453,1.705,1.617,2.771,1.197,0.618,2.005,0.827,1.293,1.187,3.028,3.064,1.538,1.252,0.783,2.855,3.375,1.148,3.408,1.584
33,3.044,1.42,4.946,3.71,1.684,5.638,1.565,1.542,2.812,1.201,0.536,1.925,0.744,1.122,1.113,3.277,2.907,1.315,1.264,0.749,2.673,3.164,1.302,3.11,1.467
34,3.111,1.305,4.07,3.332,1.533,4.513,1.514,1.477,2.793,1.272,0.45,1.963,0.641,0.995,1.048,3.592,2.656,1.131,1.217,0.727,2.429,2.816,1.579,2.697,1.317
35,2.961,1.201,3.195,2.792,1.389,3.467,1.514,1.443,2.61,1.356,0.378,2.042,0.543,0.901,1.0,3.935,2.342,1.025,1.142,0.723,2.148,2.408,1.843,2.263,1.186
36,2.606,1.131,2.508,2.219,1.288,2.732,1.507,1.437,2.453,1.411,0.332,2.061,0.473,0.825,0.969,4.209,2.005,0.999,1.078,0.736,1.925,2.038,1.99,1.899,1.117
37,2.138,1.099,2.095,1.753,1.242,2.414,1.473,1.432,2.312,1.429,0.316,1.969,0.442,0.755,0.948,4.232,1.693,1.026,1.057,0.755,1.767,1.789,1.997,1.672,1.123
38,1.684,1.092,1.889,1.528,1.234,2.4,1.422,1.395,2.234,1.43,0.329,1.786,0.45,0.678,0.926,3.96,1.457,1.078,1.087,0.765,1.683,1.697,1.906,1.592,1.178
39,1.352,1.092,1.786,1.593,1.24,2.53,1.375,1.308,2.194,1.417,0.361,1.572,0.484,0.587,0.895,3.41,1.32,1.151,1.143,0.755,1.64,1.725,1.771,1.62,1.235
40,1.232,1.087,1.729,1.965,1.243,2.716,1.377,1.167,2.11,1.393,0.4,1.416,0.526,0.498,0.854,2.786,1.277,1.254,1.187,0.721,1.609,1.833,1.681,1.706,1.247
41,1.358,1.075,1.748,2.596,1.232,2.957,1.472,0.989,1.975,1.368,0.437,1.39,0.557,0.459,0.808,2.265,1.308,1.387,1.185,0.67,1.622,2.006,1.726,1.804,1.188
42,1.67,1.058,1.884,3.333,1.202,3.314,1.66,0.809,1.81,1.34,0.464,1.498,0.57,0.519,0.771,2.019,1.374,1.528,1.123,0.622,1.715,2.221,1.928,1.87,1.068
43,2.035,1.036,2.117,3.968,1.15,3.696,1.889,0.663,1.674,1.303,0.486,1.673,0.571,0.704,0.766,2.116,1.424,1.634,1.007,0.597,1.89,2.438,2.221,1.887,0.928
44,2.298,1.013,2.383,4.315,1.087,4.037,2.057,0.579,1.601,1.259,0.514,1.824,0.577,0.987,0.813,2.495,1.419,1.674,0.871,0.609,2.13,2.609,2.496,1.897,0.82
45,2.381,1.0,2.598,4.307,1.033,4.2,2.074,0.577,1.606,1.232,0.553,1.901,0.597,1.307,0.913,3.028,1.345,1.659,0.764,0.657,2.374,2.716,2.667,1.971,0.779
46,2.291,1.014,2.712,4.0,1.026,4.145,1.91,0.656,1.687,1.245,0.609,1.92,0.634,1.591,1.051,3.542,1.212,1.624,0.724,0.729,2.556,2.769,2.68,2.162,0.808
47,2.134,1.065,2.705,3.569,1.083,3.873,1.609,0.79,1.871,1.296,0.678,1.91,0.686,1.782,1.199,3.935,1.054,1.605,0.758,0.813,2.602,2.793,2.514,2.46,0.892
48,2.042,1.142,2.612,3.221,1.193,3.471,1.287,0.938,2.094,1.352,0.749,1.894,0.743,1.845,1.329,4.113,0.927,1.617,0.841,0.896,2.518,2.829,2.216,2.781,1.001
49,2.125,1.229,2.497,3.104,1.321,3.072,1.076,1.08,2.271,1.374,0.807,1.872,0.792,1.78,1.419,4.029,0.899,1.637,0.935,0.961,2.334,2.915,1.878,3.028,1.121
50,2.464,1.314,2.453,3.304,1.44,2.762,1.089,1.225,2.317,1.343,0.839,1.827,0.826,1.618,1.45,3.661,1.045,1.62,1.022,0.992,2.119,3.116,1.6,3.155,1.237
51,3.054,1.39,2.558,3.807,1.532,2.674,1.341,1.398,2.259,1.26,0.839,1.728,0.84,1.398,1.419,3.157,1.389,1.521,1.113,0.976,2.036,3.462,1.425,3.201,1.334
52,3.784,1.45,2.795,4.491,1.593,2.765,1.736,1.611,2.171,1.141,0.807,1.548,0.836,1.156,1.337,2.7,1.87,1.331,1.23,0.911,2.182,3.901,1.315,3.25,1.387
53,4.482,1.484,3.058,5.164,1.622,2.948,2.121,1.84,2.142,1.017,0.755,1.311,0.817,0.919,1.227,2.424,2.348,1.099,1.381,0.808,2.517,4.314,1.23,3.365,1.374
54,4.982,1.474,3.181,5.638,1.61,3.062,2.371,2.022,2.205,0.962,0.697,1.106,0.793,0.727,1.118,2.361,2.676,0.917,1.537,0.688,2.891,4.595,1.172,3.523,1.289
55,5.217,1.413,3.07,5.8,1.555,3.001,2.453,2.096,2.344,1.063,0.649,1.06,0.774,0.636,1.031,2.427,2.79,0.875,1.649,0.58,3.153,4.732,1.2,3.634,1.147
56,5.21,1.316,2.708,5.644,1.47,2.751,2.427,2.039,2.459,1.36,0.623,1.253,0.768,0.685,0.982,2.489,2.745,1.012,1.674,0.514,3.261,4.786,1.366,3.59,0.987
57,5.031,1.208,2.253,5.241,1.373,2.423,2.371,1.878,2.681,1.785,0.625,1.632,0.778,0.851,0.974,2.474,2.65,1.297,1.595,0.504,3.248,4.818,1.632,3.328,0.853
58,4.742,1.122,1.821,4.701,1.292,2.094,2.34,1.688,3.013,2.194,0.652,2.051,0.805,1.059,1.003,2.407,2.587,1.628,1.433,0.548,3.171,4.828,1.907,2.882,0.782
59,4.382,1.087,1.527,4.127,1.255,1.829,2.34,1.542,3.42,2.44,0.695,2.354,0.84,1.214,1.053,2.392,2.568,1.888,1.243,0.624,3.063,4.75,2.102,2.393,0.782
60,3.984,1.113,1.437,3.611,1.275,1.701,2.35,1.477,3.793,2.461,0.736,2.451,0.873,1.256,1.096,2.531,2.562,1.993,1.083,0.698,2.969,4.506,2.164,2.033,0.83
61,3.605,1.176,1.607,3.231,1.333,1.799,2.339,1.475,4.048,2.33,0.757,2.394,0.889,1.207,1.107,2.892,2.533,1.943,0.982,0.744,2.935,4.07,2.106,1.898,0.888
