itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,3.016,0.978,2.99,3.832,1.278,3.156,1.206,1.954,4.807,1.526,0.315,1.203,0.359,2.626,1.028,2.719,1.956,0.983,1.343,0.628,1.753,3.6,1.458,1.603,0.957
2,3.149,0.983,3.241,3.695,1.243,3.219,1.311,1.746,4.302,1.346,0.292,1.106,0.345,2.723,0.952,2.031,1.768,0.944,1.431,0.597,1.839,3.303,1.487,1.49,0.779
3,3.123,0.974,3.539,3.389,1.179,3.329,1.41,1.679,3.898,1.175,0.309,1.043,0.363,2.541,0.973,1.861,1.519,0.938,1.501,0.579,2.003,2.84,1.485,1.333,0.652
4,2.966,0.955,3.568,3.046,1.097,3.284,1.503,1.761,3.704,1.065,0.354,1.056,0.4,2.131,1.057,1.7,1.281,0.931,1.559,0.567,2.126,2.395,1.5,1.173,0.586
5,2.732,0.934,3.584,2.763,1.018,3.309,1.573,1.958,3.451,1.067,0.405,1.175,0.436,1.621,1.158,1.833,1.116,0.926,1.606,0.548,2.133,2.125,1.586,1.051,0.569
6,2.481,0.925,3.345,2.592,0.961,3.168,1.61,2.213,3.281,1.184,0.449,1.39,0.46,1.15,1.237,1.738,1.084,0.932,1.636,0.517,2.004,2.101,1.763,0.995,0.584
7,2.303,0.939,3.255,2.55,0.934,3.167,1.591,2.461,3.064,1.361,0.477,1.663,0.471,0.82,1.273,1.733,1.218,0.96,1.635,0.475,1.771,2.283,2.025,1.014,0.611
8,2.342,0.986,3.126,2.646,0.93,3.095,1.51,2.638,2.926,1.521,0.492,1.945,0.477,0.672,1.263,1.684,1.479,1.012,1.588,0.43,1.508,2.541,2.327,1.093,0.642
9,2.719,1.064,3.207,2.864,0.934,3.136,1.384,2.697,2.931,1.634,0.503,2.206,0.486,0.705,1.221,1.915,1.801,1.098,1.486,0.394,1.257,2.737,2.609,1.188,0.673
10,3.384,1.158,3.254,3.091,0.925,3.143,1.215,2.624,2.972,1.662,0.521,2.372,0.506,0.889,1.171,2.357,2.047,1.214,1.335,0.379,1.065,2.731,2.79,1.251,0.697
11,4.176,1.242,3.326,3.227,0.893,3.12,1.041,2.438,3.162,1.643,0.554,2.44,0.536,1.168,1.14,2.998,2.122,1.364,1.159,0.39,0.948,2.501,2.852,1.247,0.712
12,4.884,1.292,3.316,3.222,0.843,3.077,0.925,2.17,3.239,1.624,0.603,2.414,0.572,1.437,1.145,3.716,2.028,1.529,0.98,0.431,0.933,2.151,2.836,1.17,0.716
13,5.292,1.288,3.332,3.084,0.785,3.024,0.91,1.847,3.389,1.636,0.659,2.316,0.606,1.593,1.19,4.362,1.814,1.659,0.81,0.493,1.009,1.833,2.766,1.039,0.708
14,5.266,1.227,3.364,2.847,0.729,2.985,0.994,1.503,3.367,1.669,0.706,2.162,0.626,1.587,1.255,4.884,1.554,1.706,0.664,0.561,1.167,1.642,2.64,0.898,0.692
15,4.788,1.12,3.458,2.543,0.686,2.959,1.13,1.179,3.4,1.693,0.73,1.982,0.628,1.435,1.306,5.224,1.315,1.648,0.557,0.619,1.374,1.574,2.45,0.798,0.672
16,3.965,1.003,3.524,2.196,0.67,2.889,1.251,0.91,3.23,1.691,0.725,1.818,0.613,1.204,1.307,5.375,1.119,1.503,0.499,0.652,1.554,1.548,2.213,0.782,0.657
17,2.98,0.908,3.466,1.822,0.686,2.78,1.3,0.715,3.075,1.645,0.694,1.682,0.588,0.976,1.235,5.395,0.96,1.326,0.489,0.652,1.637,1.465,1.959,0.864,0.649
18,2.027,0.862,3.324,1.43,0.737,2.654,1.262,0.606,2.905,1.553,0.646,1.57,0.558,0.817,1.091,5.292,0.803,1.182,0.526,0.62,1.639,1.278,1.729,1.03,0.648
19,1.261,0.87,3.031,1.046,0.826,2.531,1.17,0.598,2.915,1.435,0.592,1.464,0.527,0.76,0.908,5.178,0.634,1.123,0.614,0.566,1.612,1.002,1.536,1.246,0.645
20,0.75,0.924,2.686,0.729,0.944,2.47,1.083,0.699,3.081,1.31,0.545,1.345,0.499,0.807,0.737,4.986,0.485,1.156,0.758,0.51,1.628,0.737,1.368,1.473,0.634
21,0.498,1.003,2.341,0.578,1.068,2.476,1.051,0.882,3.304,1.207,0.513,1.246,0.476,0.938,0.625,4.751,0.459,1.261,0.953,0.47,1.69,0.645,1.246,1.665,0.615
22,0.457,1.08,2.055,0.648,1.171,2.608,1.09,1.093,3.49,1.148,0.503,1.238,0.458,1.11,0.593,4.331,0.633,1.4,1.173,0.452,1.816,0.84,1.22,1.786,0.597
23,0.526,1.126,1.909,0.877,1.222,2.923,1.174,1.265,3.518,1.151,0.51,1.37,0.447,1.269,0.628,3.894,1.033,1.529,1.371,0.453,1.955,1.277,1.313,1.801,0.587
24,0.627,1.126,1.914,1.167,1.206,3.449,1.252,1.344,3.385,1.22,0.523,1.633,0.44,1.372,0.69,3.352,1.642,1.624,1.492,0.457,2.086,1.806,1.493,1.699,0.585
25,0.7,1.084,2.127,1.406,1.129,4.113,1.283,1.317,3.102,1.332,0.529,1.962,0.438,1.394,0.737,2.876,2.354,1.671,1.502,0.448,2.197,2.227,1.69,1.503,0.583
26,0.735,1.028,2.529,1.539,1.03,4.856,1.259,1.214,2.677,1.444,0.52,2.261,0.439,1.351,0.75,2.429,3.012,1.669,1.41,0.418,2.291,2.4,1.827,1.264,0.583
27,0.736,0.977,2.969,1.546,0.946,5.351,1.188,1.089,2.317,1.496,0.495,2.425,0.446,1.285,0.738,2.142,3.461,1.618,1.257,0.373,2.34,2.278,1.847,1.044,0.589
28,0.711,0.941,3.368,1.45,0.9,5.557,1.094,1.0,2.098,1.444,0.464,2.404,0.456,1.249,0.725,1.976,3.599,1.53,1.1,0.328,2.325,1.92,1.746,0.883,0.61
29,0.674,0.906,3.424,1.299,0.884,5.152,0.992,0.971,2.089,1.296,0.434,2.236,0.465,1.274,0.73,1.875,3.422,1.425,0.975,0.302,2.192,1.455,1.581,0.785,0.647
30,0.65,0.854,3.217,1.173,0.874,4.396,0.89,0.997,2.189,1.13,0.413,2.036,0.47,1.349,0.751,1.764,3.01,1.338,0.895,0.301,1.936,1.042,1.449,0.732,0.694
31,0.652,0.783,2.595,1.119,0.851,3.202,0.789,1.052,2.275,1.037,0.401,1.914,0.47,1.431,0.775,1.576,2.493,1.302,0.852,0.321,1.607,0.788,1.43,0.708,0.731
32,0.677,0.697,2.011,1.129,0.806,2.217,0.691,1.104,2.419,1.063,0.398,1.909,0.469,1.463,0.786,1.498,1.988,1.327,0.827,0.352,1.337,0.714,1.539,0.7,0.743
33,0.706,0.614,1.508,1.154,0.748,1.459,0.583,1.128,2.606,1.171,0.402,1.959,0.473,1.391,0.78,1.534,1.555,1.376,0.812,0.383,1.246,0.76,1.701,0.711,0.727
34,0.71,0.554,1.335,1.133,0.699,1.19,0.462,1.115,2.831,1.306,0.415,1.988,0.488,1.231,0.771,1.672,1.196,1.406,0.809,0.41,1.347,0.834,1.822,0.758,0.699
35,0.676,0.53,1.365,1.037,0.683,1.189,0.343,1.063,2.952,1.44,0.44,1.976,0.518,1.057,0.772,1.836,0.896,1.4,0.817,0.431,1.535,0.874,1.849,0.856,0.679
36,0.626,0.537,1.494,0.887,0.705,1.333,0.271,0.978,3.024,1.581,0.476,1.981,0.561,0.953,0.789,1.946,0.648,1.365,0.828,0.446,1.666,0.853,1.782,0.994,0.681
37,0.597,0.557,1.566,0.737,0.756,1.516,0.293,0.875,3.095,1.74,0.517,2.066,0.607,0.961,0.815,2.004,0.485,1.316,0.828,0.458,1.681,0.787,1.658,1.136,0.703
38,0.641,0.579,1.493,0.684,0.821,1.622,0.43,0.779,3.191,1.895,0.554,2.229,0.651,1.058,0.838,2.069,0.444,1.26,0.812,0.468,1.554,0.713,1.519,1.243,0.731
39,0.796,0.599,1.328,0.806,0.886,1.708,0.659,0.71,3.317,1.987,0.578,2.382,0.689,1.17,0.851,2.121,0.522,1.188,0.785,0.477,1.372,0.677,1.395,1.291,0.752
40,1.061,0.623,1.156,1.12,0.946,1.772,0.916,0.682,3.283,1.951,0.586,2.415,0.716,1.218,0.852,2.23,0.69,1.089,0.769,0.484,1.174,0.694,1.3,1.284,0.758
41,1.404,0.659,1.039,1.571,0.997,1.853,1.12,0.702,3.22,1.76,0.58,2.248,0.728,1.161,0.849,2.288,0.912,0.96,0.782,0.489,1.079,0.757,1.226,1.242,0.753
42,1.749,0.707,1.066,2.039,1.038,1.979,1.209,0.767,3.036,1.451,0.567,1.896,0.722,1.018,0.85,2.357,1.159,0.822,0.826,0.492,1.04,0.844,1.153,1.199,0.744
43,2.014,0.765,1.096,2.396,1.068,1.988,1.163,0.861,2.823,1.113,0.552,1.461,0.697,0.842,0.86,2.298,1.404,0.704,0.901,0.495,1.098,0.941,1.079,1.185,0.734
44,2.146,0.831,1.25,2.572,1.102,2.024,1.008,0.97,2.501,0.846,0.542,1.087,0.655,0.693,0.878,2.107,1.628,0.624,1.014,0.498,1.172,1.043,1.025,1.222,0.717
45,2.135,0.9,1.293,2.562,1.149,1.808,0.81,1.078,2.148,0.71,0.537,0.87,0.604,0.615,0.897,1.859,1.805,0.584,1.167,0.504,1.262,1.162,1.009,1.317,0.686
46,2.005,0.962,1.357,2.414,1.204,1.629,0.637,1.164,1.963,0.69,0.536,0.81,0.555,0.612,0.916,1.499,1.907,0.561,1.346,0.51,1.317,1.295,1.025,1.45,0.644
47,1.805,1.001,1.387,2.201,1.249,1.338,0.529,1.217,2.045,0.745,0.537,0.855,0.52,0.66,0.941,1.289,1.926,0.537,1.517,0.517,1.365,1.436,1.058,1.58,0.606
