itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,1.694,1.031,5.069,1.359,0.498,8.241,1.298,0.879,1.711,1.462,0.586,0.957,0.512,0.64,0.811,5.794,1.353,1.796,0.593,0.433,3.839,2.332,1.219,1.262,0.733
2,1.514,0.973,4.519,1.204,0.496,7.594,1.078,0.916,1.342,1.552,0.687,0.866,0.508,0.607,0.803,5.334,1.349,1.659,0.724,0.431,3.647,2.238,1.076,1.209,0.676
3,1.348,0.917,3.75,1.102,0.547,6.427,0.912,0.918,1.32,1.692,0.78,0.846,0.503,0.546,0.75,4.834,1.393,1.474,0.934,0.435,3.269,2.052,0.917,1.134,0.627
4,1.327,0.9,2.919,1.144,0.647,5.068,0.845,0.891,1.513,1.992,0.836,0.985,0.506,0.484,0.668,4.431,1.548,1.307,1.194,0.434,2.913,1.87,0.811,1.075,0.606
5,1.513,0.949,2.272,1.384,0.773,3.928,0.876,0.848,1.781,2.495,0.845,1.312,0.522,0.445,0.587,4.241,1.868,1.234,1.444,0.422,2.811,1.835,0.798,1.059,0.623
6,1.863,1.051,1.926,1.777,0.886,3.219,0.97,0.796,2.012,3.103,0.814,1.756,0.542,0.446,0.53,4.326,2.314,1.293,1.607,0.404,3.035,2.023,0.877,1.084,0.677
7,2.252,1.154,1.894,2.224,0.944,2.937,1.085,0.74,2.202,3.613,0.767,2.179,0.552,0.485,0.512,4.617,2.795,1.447,1.636,0.389,3.433,2.399,0.988,1.127,0.754
8,2.556,1.208,2.024,2.641,0.935,2.883,1.183,0.684,2.328,3.828,0.729,2.456,0.545,0.546,0.528,4.889,3.189,1.625,1.529,0.387,3.79,2.835,1.06,1.165,0.833
9,2.726,1.186,2.221,2.99,0.883,2.945,1.246,0.647,2.368,3.674,0.712,2.528,0.522,0.624,0.562,4.944,3.427,1.773,1.346,0.398,3.859,3.162,1.06,1.193,0.895
10,2.797,1.102,2.33,3.288,0.842,2.969,1.272,0.653,2.29,3.251,0.711,2.442,0.491,0.729,0.6,4.686,3.494,1.886,1.173,0.411,3.596,3.257,1.023,1.227,0.919
11,2.839,1.0,2.281,3.537,0.86,2.861,1.262,0.706,2.065,2.775,0.71,2.292,0.46,0.871,0.628,4.089,3.409,1.962,1.073,0.415,2.987,3.087,1.002,1.278,0.891
12,3.104,0.928,2.492,3.837,0.957,2.767,1.224,0.793,1.712,2.481,0.693,2.176,0.432,1.043,0.638,3.412,3.219,1.992,1.064,0.399,2.261,2.711,1.035,1.34,0.816
13,4.102,0.908,5.642,4.36,1.112,4.046,1.161,0.891,1.34,2.493,0.657,2.14,0.409,1.218,0.623,2.785,2.952,1.953,1.114,0.365,1.608,2.24,1.108,1.393,0.72
14,6.299,0.943,15.2,5.31,1.273,8.394,1.094,0.973,1.125,2.809,0.62,2.186,0.391,1.355,0.585,2.309,2.642,1.828,1.175,0.327,1.14,1.81,1.18,1.43,0.635
15,9.691,1.017,32.614,6.74,1.386,16.442,1.043,1.02,1.201,3.297,0.605,2.273,0.381,1.416,0.536,1.997,2.318,1.637,1.205,0.299,0.933,1.53,1.209,1.457,0.584
16,13.627,1.096,55.466,8.423,1.416,27.084,1.006,1.02,1.553,3.815,0.637,2.37,0.389,1.389,0.491,1.834,2.011,1.432,1.182,0.295,0.945,1.423,1.177,1.481,0.575
17,16.958,1.143,77.958,9.861,1.355,37.556,0.981,0.978,2.012,4.254,0.735,2.475,0.425,1.318,0.464,1.769,1.75,1.285,1.107,0.319,1.136,1.425,1.141,1.499,0.598
18,18.553,1.14,92.797,10.544,1.221,44.535,0.972,0.907,2.421,4.543,0.905,2.588,0.492,1.29,0.459,1.744,1.547,1.254,0.995,0.362,1.596,1.446,1.189,1.495,0.638
19,17.796,1.083,94.906,10.164,1.045,45.582,0.987,0.813,2.671,4.615,1.129,2.678,0.583,1.371,0.471,1.699,1.41,1.344,0.856,0.415,2.079,1.43,1.364,1.441,0.679
20,14.902,0.989,83.926,8.763,0.865,40.617,1.016,0.703,2.846,4.43,1.367,2.694,0.683,1.573,0.494,1.734,1.331,1.503,0.702,0.469,2.76,1.348,1.636,1.32,0.713
21,10.806,0.884,63.826,6.756,0.708,31.635,1.039,0.586,2.885,3.978,1.57,2.589,0.778,1.833,0.519,1.74,1.294,1.641,0.545,0.52,3.252,1.211,1.924,1.14,0.74
22,6.737,0.788,41.293,4.746,0.59,21.693,1.059,0.479,2.856,3.321,1.686,2.361,0.856,2.061,0.537,1.87,1.33,1.684,0.402,0.565,3.633,1.083,2.131,0.935,0.762
23,3.707,0.709,22.594,3.26,0.521,13.644,1.09,0.397,2.782,2.57,1.681,2.045,0.908,2.206,0.546,1.963,1.469,1.634,0.297,0.595,3.716,1.042,2.2,0.743,0.779
24,2.138,0.648,10.815,2.533,0.501,8.616,1.152,0.352,2.735,1.848,1.559,1.711,0.93,2.277,0.545,2.073,1.715,1.547,0.244,0.604,3.591,1.125,2.147,0.601,0.79
25,1.784,0.595,5.396,2.449,0.521,6.201,1.247,0.344,2.725,1.281,1.365,1.461,0.921,2.323,0.54,2.223,2.055,1.511,0.241,0.588,3.354,1.311,2.048,0.527,0.789
26,2.024,0.546,3.61,2.677,0.568,5.163,1.344,0.368,2.72,0.946,1.175,1.37,0.883,2.368,0.532,2.476,2.443,1.571,0.282,0.552,3.083,1.528,1.972,0.517,0.771
27,2.302,0.523,3.032,2.887,0.636,4.561,1.394,0.424,2.713,0.829,1.061,1.433,0.822,2.397,0.522,2.96,2.81,1.702,0.362,0.502,2.882,1.676,1.931,0.548,0.737
28,2.371,0.564,2.75,2.908,0.729,4.158,1.367,0.511,2.686,0.871,1.06,1.602,0.75,2.369,0.509,3.603,3.088,1.823,0.477,0.45,2.685,1.685,1.894,0.602,0.694
29,2.203,0.702,2.569,2.711,0.849,3.957,1.262,0.614,2.607,1.007,1.156,1.836,0.683,2.237,0.495,4.268,3.232,1.852,0.624,0.407,2.47,1.563,1.818,0.657,0.656
30,1.838,0.937,2.477,2.313,0.993,3.92,1.098,0.71,2.44,1.212,1.29,2.124,0.633,1.997,0.484,4.711,3.212,1.754,0.798,0.379,2.243,1.347,1.685,0.706,0.638
