itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,1.575,1.746,3.888,1.282,1.732,3.357,1.721,0.758,4.044,1.907,1.114,1.284,0.721,1.315,0.594,1.985,1.686,1.814,1.877,0.656,2.443,1.569,2.737,2.056,0.942
2,1.504,1.658,3.577,1.183,1.806,3.399,1.603,0.821,3.577,2.261,1.041,1.392,0.713,1.463,0.667,1.719,1.879,2.04,1.986,0.654,2.274,1.343,3.012,2.144,0.963
3,1.466,1.613,3.038,1.161,1.874,3.363,1.494,0.91,2.741,2.514,0.974,1.485,0.725,1.572,0.73,1.433,2.017,2.311,2.034,0.664,2.05,1.127,3.253,2.171,1.036
4,1.504,1.618,2.417,1.226,1.935,3.237,1.478,1.012,1.888,2.596,0.928,1.553,0.757,1.609,0.777,1.184,2.029,2.515,2.019,0.685,1.862,0.961,3.401,2.124,1.148
5,1.612,1.685,1.857,1.355,1.99,3.024,1.568,1.108,1.289,2.464,0.918,1.566,0.804,1.562,0.808,1.092,1.867,2.541,1.96,0.715,1.73,0.85,3.393,2.018,1.275
6,1.758,1.815,1.523,1.517,2.044,2.818,1.721,1.187,1.107,2.134,0.946,1.491,0.855,1.435,0.831,1.292,1.58,2.345,1.885,0.748,1.785,0.788,3.198,1.873,1.377
7,1.891,2.013,1.572,1.675,2.115,2.743,1.856,1.257,1.452,1.692,1.002,1.327,0.897,1.253,0.855,1.89,1.266,1.971,1.828,0.776,2.056,0.792,2.842,1.72,1.419
8,1.944,2.262,1.977,1.775,2.223,2.833,1.887,1.333,2.166,1.248,1.062,1.104,0.917,1.057,0.883,2.88,1.02,1.537,1.816,0.793,2.579,0.87,2.403,1.61,1.391
9,1.881,2.514,2.621,1.766,2.378,3.104,1.781,1.433,3.054,0.921,1.102,0.888,0.911,0.904,0.914,4.096,0.891,1.18,1.868,0.791,3.31,1.022,1.981,1.607,1.303
10,1.703,2.716,3.375,1.638,2.577,3.579,1.584,1.558,3.936,0.781,1.103,0.739,0.884,0.833,0.943,5.239,0.869,1.003,1.987,0.77,4.128,1.237,1.654,1.769,1.189
