itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,6.694,1.25,19.75,3.263,0.916,14.066,1.214,0.64,2.566,3.612,0.381,2.297,0.302,0.671,0.36,1.432,1.204,1.036,0.582,0.255,3.848,0.701,0.961,0.763,0.501
2,8.702,1.426,28.209,3.733,0.974,16.696,1.522,0.637,2.786,4.681,0.393,2.807,0.323,0.647,0.338,1.458,1.628,1.214,0.599,0.273,3.642,0.491,0.998,0.711,0.526
3,10.068,1.585,33.63,4.05,1.057,18.4,1.748,0.62,2.986,5.607,0.412,3.264,0.342,0.661,0.311,1.787,2.009,1.478,0.605,0.294,3.639,0.46,1.085,0.755,0.549
4,10.482,1.654,36.584,4.216,1.117,19.136,1.825,0.598,3.297,6.0,0.436,3.491,0.356,0.689,0.283,2.054,2.282,1.753,0.592,0.311,3.871,0.632,1.148,0.856,0.559
5,10.086,1.603,33.672,4.36,1.126,17.712,1.756,0.584,3.356,5.764,0.457,3.436,0.364,0.717,0.256,2.248,2.395,1.979,0.573,0.323,4.167,0.992,1.14,1.0,0.545
6,9.269,1.446,28.877,4.627,1.085,15.504,1.616,0.592,3.506,4.977,0.467,3.128,0.364,0.74,0.236,2.51,2.374,2.102,0.573,0.329,4.523,1.487,1.062,1.192,0.507
7,8.425,1.228,21.014,5.029,1.022,11.786,1.492,0.629,3.242,3.93,0.466,2.68,0.358,0.765,0.226,2.469,2.268,2.1,0.613,0.326,4.853,1.995,0.953,1.441,0.454
8,7.759,1.01,14.49,5.446,0.987,8.552,1.428,0.689,3.148,2.94,0.464,2.246,0.352,0.798,0.23,2.58,2.102,1.991,0.701,0.317,4.956,2.362,0.88,1.746,0.402
9,7.241,0.846,9.168,5.69,1.026,6.011,1.394,0.764,2.752,2.254,0.479,1.978,0.356,0.839,0.249,2.573,1.883,1.825,0.827,0.302,5.128,2.456,0.894,2.08,0.369
10,6.655,0.76,6.498,5.625,1.146,4.99,1.336,0.842,2.641,1.911,0.523,1.929,0.376,0.873,0.282,2.86,1.636,1.657,0.962,0.288,4.956,2.28,1.025,2.381,0.368
11,5.786,0.74,5.271,5.192,1.306,4.98,1.211,0.911,2.433,1.773,0.589,2.026,0.413,0.879,0.324,3.309,1.399,1.519,1.066,0.28,4.882,1.944,1.246,2.57,0.402
12,4.646,0.766,4.788,4.493,1.447,5.65,1.014,0.952,2.38,1.673,0.659,2.148,0.462,0.843,0.368,3.737,1.204,1.42,1.101,0.28,4.631,1.601,1.508,2.585,0.462
13,3.587,0.831,4.927,3.8,1.536,6.736,0.791,0.951,2.357,1.593,0.713,2.238,0.512,0.755,0.403,4.181,1.107,1.343,1.057,0.29,4.567,1.363,1.753,2.421,0.539
14,2.956,0.926,5.575,3.313,1.568,7.934,0.598,0.908,2.382,1.589,0.738,2.277,0.557,0.626,0.426,4.405,1.17,1.271,0.957,0.308,4.559,1.259,1.932,2.14,0.626
15,2.9,1.033,6.334,3.108,1.566,8.827,0.482,0.835,2.461,1.674,0.738,2.241,0.593,0.476,0.437,4.369,1.417,1.19,0.839,0.332,4.665,1.28,2.027,1.849,0.713
16,3.323,1.136,7.081,3.118,1.563,9.195,0.46,0.756,2.584,1.817,0.732,2.124,0.622,0.344,0.445,4.26,1.813,1.114,0.747,0.359,4.727,1.372,2.026,1.662,0.8
17,4.002,1.22,7.771,3.247,1.578,8.845,0.528,0.697,2.676,1.958,0.738,1.956,0.656,0.267,0.461,3.943,2.286,1.059,0.705,0.394,4.616,1.506,1.94,1.634,0.897
18,4.684,1.265,8.411,3.401,1.598,7.872,0.667,0.67,2.671,2.016,0.772,1.766,0.709,0.261,0.494,3.66,2.752,1.025,0.706,0.443,4.167,1.697,1.795,1.743,1.021
19,5.153,1.249,9.195,3.512,1.582,6.572,0.856,0.671,2.54,1.925,0.83,1.56,0.782,0.308,0.546,3.267,3.13,0.999,0.719,0.512,3.588,1.962,1.625,1.895,1.18
20,5.268,1.165,9.561,3.56,1.485,5.295,1.046,0.679,2.316,1.69,0.889,1.347,0.859,0.38,0.609,2.989,3.337,0.959,0.707,0.593,2.916,2.25,1.458,1.982,1.356
21,5.023,1.033,9.497,3.585,1.307,4.41,1.186,0.671,2.073,1.383,0.926,1.153,0.917,0.449,0.664,2.8,3.349,0.89,0.656,0.668,2.43,2.491,1.316,1.946,1.513
22,4.484,0.897,8.45,3.602,1.105,4.136,1.228,0.642,1.967,1.068,0.926,0.981,0.932,0.506,0.691,2.937,3.204,0.792,0.583,0.719,2.211,2.6,1.197,1.812,1.613
23,3.747,0.807,7.315,3.613,0.956,4.776,1.155,0.597,2.016,0.795,0.896,0.828,0.905,0.549,0.687,3.298,2.976,0.702,0.523,0.734,2.365,2.534,1.094,1.668,1.644
24,2.931,0.795,6.35,3.589,0.91,6.097,0.991,0.548,2.171,0.616,0.851,0.689,0.849,0.582,0.658,3.826,2.741,0.647,0.504,0.714,2.662,2.328,0.977,1.6,1.622
25,2.157,0.869,6.038,3.498,0.961,7.684,0.788,0.508,2.313,0.576,0.808,0.57,0.783,0.608,0.619,4.243,2.547,0.647,0.527,0.672,2.996,2.082,0.831,1.641,1.581
26,1.538,1.008,6.595,3.312,1.063,9.103,0.602,0.483,2.344,0.69,0.777,0.478,0.727,0.62,0.582,4.356,2.39,0.7,0.571,0.622,3.263,1.881,0.675,1.757,1.553
27,1.38,1.17,8.796,3.038,1.156,10.616,0.471,0.47,2.232,0.997,0.757,0.461,0.687,0.608,0.55,4.107,2.227,0.775,0.605,0.576,3.389,1.745,0.541,1.872,1.552
28,2.992,1.305,19.93,3.281,1.194,16.848,0.408,0.462,1.996,1.609,0.742,0.568,0.656,0.562,0.522,3.589,2.029,0.814,0.608,0.541,3.399,1.656,0.442,1.91,1.566
29,8.373,1.384,51.815,5.185,1.173,35.257,0.413,0.459,1.758,2.672,0.725,0.854,0.622,0.496,0.496,3.012,1.793,0.804,0.585,0.513,3.247,1.597,0.393,1.848,1.568
30,18.638,1.43,111.956,9.543,1.138,71.525,0.483,0.47,1.695,4.176,0.703,1.307,0.571,0.452,0.47,2.82,1.552,0.777,0.563,0.487,3.097,1.57,0.414,1.735,1.531
31,32.626,1.495,195.823,16.042,1.157,123.324,0.622,0.507,1.883,5.87,0.675,1.87,0.504,0.485,0.449,3.016,1.382,0.791,0.579,0.46,2.975,1.62,0.525,1.663,1.452
32,47.018,1.626,283.745,23.132,1.27,179.38,0.826,0.578,2.271,7.314,0.645,2.426,0.432,0.633,0.436,3.647,1.351,0.906,0.655,0.431,3.027,1.799,0.743,1.697,1.354
33,57.353,1.834,348.132,28.547,1.464,222.211,1.065,0.677,2.679,8.089,0.615,2.842,0.373,0.887,0.433,4.339,1.467,1.136,0.783,0.402,3.147,2.11,1.054,1.845,1.268
34,59.946,2.095,365.25,30.25,1.68,236.446,1.287,0.788,2.983,8.033,0.583,3.053,0.343,1.187,0.436,4.846,1.658,1.427,0.933,0.374,3.345,2.47,1.392,2.068,1.216
35,53.826,2.36,329.178,27.603,1.843,217.095,1.437,0.89,3.089,7.388,0.552,3.155,0.349,1.452,0.438,5.003,1.814,1.68,1.062,0.35,3.629,2.763,1.671,2.296,1.203
36,42.29,2.571,253.969,22.262,1.899,171.714,1.494,0.959,3.023,6.685,0.529,3.329,0.389,1.609,0.431,4.841,1.895,1.81,1.125,0.333,3.977,2.947,1.828,2.456,1.223
37,30.545,2.696,168.185,16.869,1.844,117.208,1.471,0.973,2.854,6.457,0.522,3.73,0.453,1.625,0.415,4.485,1.918,1.799,1.103,0.327,4.33,3.05,1.84,2.501,1.254
38,22.97,2.739,98.98,13.623,1.722,70.796,1.399,0.924,2.689,6.906,0.543,4.379,0.53,1.519,0.396,4.16,1.91,1.7,0.999,0.334,4.602,3.117,1.754,2.422,1.285
39,21.008,2.719,61.147,13.205,1.595,42.934,1.307,0.82,2.607,7.776,0.589,5.147,0.607,1.352,0.379,4.139,1.884,1.596,0.844,0.355,4.764,3.186,1.679,2.238,1.323
40,22.768,2.659,51.208,14.562,1.513,32.764,1.22,0.679,2.683,8.518,0.651,5.794,0.674,1.189,0.37,4.529,1.837,1.543,0.678,0.388,4.861,3.257,1.708,1.987,1.385
41,24.601,2.564,53.717,15.797,1.487,31.795,1.163,0.525,2.696,8.57,0.708,6.04,0.727,1.065,0.372,5.074,1.773,1.544,0.53,0.432,4.733,3.306,1.859,1.716,1.484
42,23.628,2.423,54.109,15.44,1.497,30.989,1.137,0.385,2.703,7.709,0.749,5.735,0.772,0.97,0.385,5.534,1.697,1.548,0.426,0.485,4.497,3.281,2.073,1.47,1.61
43,19.701,2.217,46.466,13.409,1.504,26.43,1.137,0.284,2.484,6.247,0.773,4.96,0.813,0.879,0.406,5.499,1.66,1.5,0.381,0.543,4.102,3.179,2.267,1.286,1.725
44,14.37,1.97,34.335,10.589,1.488,19.479,1.161,0.237,2.186,4.609,0.791,3.904,0.853,0.768,0.433,4.999,1.748,1.372,0.4,0.603,3.683,3.059,2.374,1.194,1.784
45,9.427,1.748,21.776,7.906,1.468,12.629,1.199,0.246,1.768,3.254,0.81,2.868,0.882,0.646,0.459,4.052,2.021,1.185,0.481,0.653,3.214,2.993,2.378,1.209,1.749
46,6.162,1.601,12.218,5.989,1.458,7.639,1.237,0.298,1.348,2.408,0.829,2.073,0.884,0.529,0.479,3.056,2.463,0.983,0.604,0.684,2.834,3.018,2.298,1.312,1.614
47,4.886,1.539,6.742,4.989,1.458,5.057,1.273,0.37,0.954,2.035,0.838,1.603,0.849,0.439,0.486,2.19,2.994,0.822,0.736,0.689,2.405,3.103,2.153,1.449,1.406
48,4.966,1.535,4.648,4.641,1.457,4.152,1.309,0.445,0.664,1.959,0.824,1.423,0.773,0.396,0.479,1.736,3.511,0.761,0.846,0.67,2.143,3.186,1.961,1.561,1.172
49,5.438,1.549,4.195,4.566,1.439,4.086,1.356,0.509,0.505,2.012,0.778,1.445,0.667,0.4,0.455,1.641,3.926,0.794,0.912,0.632,1.867,3.213,1.728,1.603,0.962
50,5.704,1.566,3.948,4.586,1.422,4.044,1.414,0.562,0.434,2.115,0.707,1.598,0.558,0.438,0.42,1.762,4.179,0.884,0.932,0.579,1.767,3.153,1.481,1.564,0.81
51,5.652,1.615,3.732,4.694,1.452,4.145,1.466,0.61,0.425,2.268,0.637,1.848,0.479,0.485,0.381,1.977,4.245,0.963,0.919,0.519,1.779,3.007,1.28,1.475,0.725
52,5.237,1.72,3.643,4.771,1.567,4.54,1.469,0.662,0.436,2.504,0.594,2.208,0.456,0.536,0.35,2.074,4.109,0.972,0.893,0.459,2.064,2.778,1.209,1.377,0.697
53,4.54,1.87,3.767,4.734,1.753,5.392,1.395,0.716,0.462,2.89,0.597,2.729,0.498,0.615,0.332,2.12,3.803,0.924,0.865,0.408,2.614,2.48,1.346,1.3,0.715
54,3.721,2.021,4.086,4.59,1.949,6.547,1.243,0.759,0.485,3.457,0.647,3.366,0.591,0.73,0.33,2.047,3.396,0.845,0.832,0.375,3.295,2.168,1.675,1.257,0.756
55,2.933,2.097,4.471,4.403,2.064,7.651,1.036,0.769,0.495,4.124,0.726,3.966,0.7,0.866,0.337,1.953,2.967,0.769,0.781,0.362,3.876,1.894,2.063,1.232,0.789
56,2.32,2.034,4.914,4.259,2.022,8.342,0.833,0.732,0.509,4.708,0.807,4.335,0.789,0.99,0.345,1.817,2.58,0.718,0.703,0.366,4.153,1.694,2.353,1.193,0.787
57,1.937,1.813,5.324,4.192,1.804,8.413,0.694,0.647,0.561,5.004,0.861,4.346,0.829,1.067,0.345,1.746,2.277,0.714,0.599,0.378,4.007,1.573,2.443,1.112,0.74
58,1.755,1.479,5.653,4.126,1.461,7.905,0.662,0.532,0.679,4.875,0.87,3.971,0.811,1.075,0.336,1.722,2.072,0.752,0.487,0.385,3.711,1.507,2.319,0.993,0.658
59,1.71,1.124,5.888,3.947,1.101,7.056,0.733,0.413,0.855,4.315,0.828,3.298,0.745,1.006,0.319,1.77,1.925,0.798,0.394,0.378,3.301,1.445,2.042,0.876,0.565
60,1.734,0.841,5.94,3.575,0.828,6.225,0.861,0.316,1.044,3.466,0.746,2.496,0.653,0.876,0.3,1.827,1.754,0.814,0.341,0.351,3.289,1.323,1.694,0.804,0.492
61,1.728,0.667,5.78,3.0,0.685,5.522,0.968,0.253,1.188,2.555,0.644,1.761,0.562,0.715,0.284,1.873,1.504,0.78,0.329,0.313,3.541,1.114,1.35,0.787,0.46
