itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,3.447,1.139,3.028,4.094,0.806,2.745,2.535,1.078,1.925,1.202,0.881,1.162,0.958,0.776,0.427,3.854,3.973,1.427,1.138,0.521,3.271,2.741,1.142,1.201,0.824
2,3.924,1.093,2.959,4.439,0.672,3.245,2.575,0.912,2.102,1.162,0.842,1.058,0.957,0.652,0.415,3.703,4.442,1.372,0.945,0.474,3.281,2.696,1.124,1.109,0.773
3,4.605,1.047,3.944,4.946,0.607,4.808,2.844,0.765,2.872,1.108,0.793,1.006,0.956,0.587,0.425,3.951,5.209,1.384,0.752,0.454,3.955,2.773,1.172,1.015,0.715
4,5.256,0.989,5.565,5.449,0.603,6.919,3.164,0.674,3.86,1.055,0.745,1.009,0.942,0.577,0.451,4.606,6.011,1.473,0.607,0.444,5.036,2.957,1.293,0.943,0.653
5,5.626,0.922,7.546,5.736,0.644,9.307,3.376,0.649,4.994,1.027,0.705,1.067,0.917,0.602,0.481,5.542,6.582,1.622,0.537,0.43,6.267,3.196,1.473,0.914,0.595
6,5.573,0.863,8.893,5.66,0.718,10.78,3.373,0.674,5.584,1.032,0.678,1.161,0.892,0.636,0.505,6.28,6.748,1.789,0.534,0.406,7.14,3.402,1.656,0.922,0.555
7,5.117,0.839,9.671,5.204,0.834,11.491,3.153,0.718,5.82,1.086,0.66,1.279,0.879,0.668,0.511,6.796,6.52,1.959,0.565,0.374,7.531,3.487,1.782,0.935,0.537
8,4.496,0.875,9.236,4.556,1.008,10.581,2.867,0.76,5.386,1.189,0.646,1.405,0.883,0.712,0.495,6.639,6.124,2.121,0.601,0.343,7.244,3.449,1.802,0.925,0.54
9,4.111,0.97,8.35,4.071,1.233,9.145,2.779,0.792,4.802,1.391,0.634,1.561,0.906,0.823,0.459,6.223,5.902,2.315,0.627,0.319,6.638,3.393,1.758,0.884,0.555
10,4.279,1.105,7.438,4.039,1.473,7.522,3.095,0.824,4.777,1.834,0.635,1.824,0.95,1.069,0.407,5.861,6.073,2.6,0.651,0.306,6.199,3.451,1.765,0.833,0.575
11,5.076,1.252,7.187,4.532,1.673,6.856,3.843,0.864,5.247,2.671,0.661,2.299,1.017,1.489,0.351,5.794,6.635,3.018,0.687,0.304,6.143,3.709,1.962,0.802,0.603
12,6.238,1.385,8.052,5.319,1.784,7.449,4.824,0.911,6.764,3.887,0.717,2.992,1.103,2.033,0.305,6.318,7.322,3.514,0.736,0.31,6.785,4.157,2.384,0.804,0.641
13,7.337,1.485,9.546,6.05,1.794,9.096,5.745,0.951,8.372,5.283,0.802,3.805,1.208,2.611,0.281,7.186,7.815,3.997,0.79,0.325,7.861,4.686,2.956,0.835,0.69
14,7.929,1.532,11.469,6.373,1.715,11.322,6.294,0.967,10.109,6.439,0.919,4.455,1.343,3.064,0.295,8.401,7.81,4.262,0.833,0.357,9.282,5.091,3.475,0.879,0.741
15,7.754,1.518,12.581,6.097,1.584,12.912,6.259,0.949,10.795,6.969,1.077,4.686,1.518,3.249,0.357,9.382,7.18,4.163,0.856,0.422,10.383,5.173,3.736,0.918,0.788
16,6.851,1.462,12.776,5.286,1.449,13.383,5.646,0.905,10.661,6.702,1.276,4.405,1.726,3.114,0.466,9.98,6.047,3.711,0.869,0.527,10.974,4.868,3.641,0.945,0.831
17,5.537,1.404,11.879,4.25,1.359,12.573,4.669,0.848,9.678,5.74,1.496,3.708,1.929,2.726,0.604,10.047,4.741,3.047,0.889,0.664,10.893,4.259,3.223,0.969,0.87
18,4.172,1.396,10.166,3.303,1.342,10.748,3.594,0.792,8.064,4.389,1.69,2.816,2.072,2.213,0.735,9.388,3.596,2.353,0.931,0.805,10.062,3.504,2.641,1.016,0.904
